Parent,Relation,Child
https://cso.kmi.open.ac.uk/topics/audio_fingerprinting,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Acoustic_fingerprint
https://cso.kmi.open.ac.uk/topics/audio_signal_processing,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Audio_signal_processing
https://cso.kmi.open.ac.uk/topics/binary_relation,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Binary_relation
https://cso.kmi.open.ac.uk/topics/binary_relations,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Binary_relation
https://cso.kmi.open.ac.uk/topics/code_excited_linear_prediction,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Code-excited_linear_prediction
https://cso.kmi.open.ac.uk/topics/defuzzification,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Defuzzification
https://cso.kmi.open.ac.uk/topics/defuzzification_method,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Defuzzification
https://cso.kmi.open.ac.uk/topics/episodic_memory,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Episodic_memory
https://cso.kmi.open.ac.uk/topics/fuzzification,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/fuzzy_arithmetics,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Arithmetic
https://cso.kmi.open.ac.uk/topics/fuzzy_data,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/fuzzy_mathematics,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_mathematics
https://cso.kmi.open.ac.uk/topics/fuzzy_membership_function,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Indicator_function
https://cso.kmi.open.ac.uk/topics/fuzzy_set,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/fuzzy_sets,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/fuzzy_sets_theory,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Fuzzy_set
https://cso.kmi.open.ac.uk/topics/gaussian_mixture_model,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Mixture_model
https://cso.kmi.open.ac.uk/topics/gaussian_mixture_model_%28gmm%29,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Mixture_model
https://cso.kmi.open.ac.uk/topics/gaussian_mixture_models,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Mixture_model
https://cso.kmi.open.ac.uk/topics/greater_sunda_islands,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Greater_Sunda_Islands
https://cso.kmi.open.ac.uk/topics/homo_floresiensis,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Homo_floresiensis
https://cso.kmi.open.ac.uk/topics/indiscernibility_relation,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Identity_of_indiscernibles
https://cso.kmi.open.ac.uk/topics/intermetallic_compounds,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Intermetallic
https://cso.kmi.open.ac.uk/topics/isabelle%2Fhol,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Isabelle_(proof_assistant)
https://cso.kmi.open.ac.uk/topics/iso%2Fiec_15504,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/International_Organization_for_Standardization
https://cso.kmi.open.ac.uk/topics/iso%2Fiec_9126-i,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/International_Organization_for_Standardization
https://cso.kmi.open.ac.uk/topics/kd-tree,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/K-d_tree
https://cso.kmi.open.ac.uk/topics/lesser_sunda_islands,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Lesser_Sunda_Islands
https://cso.kmi.open.ac.uk/topics/membership_function,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Indicator_function
https://cso.kmi.open.ac.uk/topics/network_topologies,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Network_topology
https://cso.kmi.open.ac.uk/topics/orbitofrontal_cortex,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Orbitofrontal_cortex
