Parent,Relation,Child
https://cso.kmi.open.ac.uk/topics/0-1_knapsack_problem,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Knapsack_problem
https://cso.kmi.open.ac.uk/topics/0%2F1_knapsack_problems,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Backpack
https://cso.kmi.open.ac.uk/topics/3-axis_accelerometer,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Accelerometer
https://cso.kmi.open.ac.uk/topics/3-d_integrated_circuit,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Integrated_circuit
https://cso.kmi.open.ac.uk/topics/3d_display,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Stereo_display
https://cso.kmi.open.ac.uk/topics/3d_modeling,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3D_modeling
https://cso.kmi.open.ac.uk/topics/3d_modelling,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3D_modeling
https://cso.kmi.open.ac.uk/topics/3d_objects,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3D_modeling
https://cso.kmi.open.ac.uk/topics/3d_printers,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3D_printing
https://cso.kmi.open.ac.uk/topics/3d_reconstruction,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3D_reconstruction
https://cso.kmi.open.ac.uk/topics/3d_scanning,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3D_scanner
https://cso.kmi.open.ac.uk/topics/3d_virtual_worlds,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Virtual_world
https://cso.kmi.open.ac.uk/topics/3gpp,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3GPP
https://cso.kmi.open.ac.uk/topics/3gpp_lte,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3GPP
https://cso.kmi.open.ac.uk/topics/3rd_generation_partnership_project_%283gpp%29,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/3GPP
https://cso.kmi.open.ac.uk/topics/6lowpan,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/6LoWPAN
https://cso.kmi.open.ac.uk/topics/8-bit_microcontrollers,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/8-bit
https://cso.kmi.open.ac.uk/topics/802.11_networks,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/IEEE_802.11
https://cso.kmi.open.ac.uk/topics/802.11e,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/IEEE_802.11e-2005
https://cso.kmi.open.ac.uk/topics/aac,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Advanced_Audio_Coding
https://cso.kmi.open.ac.uk/topics/abstract_interpretation,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Abstract_interpretation
https://cso.kmi.open.ac.uk/topics/academic_libraries,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Academic_library
https://cso.kmi.open.ac.uk/topics/acceleration_sensor,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Accelerometer
https://cso.kmi.open.ac.uk/topics/accelerometer,<http://www.w3.org/2002/07/owl#sameAs>,http://dbpedia.org/resource/Accelerometer
