First Domain,%GT Count of First Domain,Year
artificial intelligence,3.06%,2021
computer system,2.94%,2021
natural language,2.70%,2021
human computer interaction,2.57%,2021
computer hardware,2.45%,2021
computer imaging and vision,2.45%,2021
hardware,2.45%,2021
internet,2.45%,2021
computer communication networks,2.33%,2021
computer network,2.33%,2021
computer programming,2.21%,2021
computer operating systems,2.08%,2021
computer security,2.08%,2021
data mining,2.08%,2021
operating system,2.08%,2021
signal processing,1.96%,2021
elearning,1.84%,2021
information retrieval,1.84%,2021
information technology,1.84%,2021
software engineering,1.84%,2021
bioinformatics,1.72%,2021
medical informatics,1.72%,2021
theoretical computer science,1.72%,2021
probability,1.59%,2021
correlation analysis,1.47%,2021
regression analysis,1.47%,2021
robotics,1.47%,2021
speech communication,1.47%,2021
statistical analysis,1.47%,2021
statistical model,1.47%,2021
statistics,1.47%,2021
automation,1.35%,2021
software,1.23%,2021
cad,1.10%,2021
numerical analysis,1.10%,2021
sales,1.10%,2021
commerce,0.98%,2021
curricula,0.98%,2021
matrix algebra,0.98%,2021
numerical method,0.98%,2021
control theory,0.86%,2021
electricity,0.86%,2021
information theory,0.86%,2021
approximation theory,0.74%,2021
augmentative and alternative communication,0.74%,2021
computer-assisted language learning,0.74%,2021
telephone,0.74%,2021
educational technology,0.61%,2021
health expenditures,0.61%,2021
investment,0.61%,2021
mathematical transformations,0.61%,2021
optimization,0.61%,2021
semantic technology,0.61%,2021
semantic web,0.61%,2021
semantic web applications,0.61%,2021
semantic web technology,0.61%,2021
boolean function,0.49%,2021
finite element method,0.49%,2021
formal languages,0.49%,2021
maximum likelihood estimation,0.49%,2021
social psychology,0.49%,2021
social science,0.49%,2021
social support,0.49%,2021
translation %28languages%29,0.49%,2021
wavelet transform,0.49%,2021
cloud service,0.37%,2021
computer assisted language learning,0.37%,2021
digital arithmetic,0.37%,2021
functional languages,0.37%,2021
knowledge representation,0.37%,2021
ontology,0.37%,2021
programming language,0.37%,2021
social aspect,0.37%,2021
social status,0.37%,2021
anonymous communication,0.25%,2021
data cube,0.25%,2021
economic and social effects,0.25%,2021
economic development,0.25%,2021
fault detection,0.25%,2021
laser communication,0.25%,2021
machine to machines,0.25%,2021
object-oriented languages,0.25%,2021
secure communications,0.25%,2021
societies%2C pharmaceutical,0.25%,2021
type system,0.25%,2021
vehicles,0.25%,2021
aircraft communication,0.12%,2021
collective communication,0.12%,2021
communication bandwidth,0.12%,2021
communication constraints,0.12%,2021
communication cost,0.12%,2021
communication delay,0.12%,2021
communication network,0.12%,2021
communication overhead,0.12%,2021
communication protocol,0.12%,2021
communication robot,0.12%,2021
conformal mapping,0.12%,2021
cooperative communication,0.12%,2021
covert communication,0.12%,2021
curve fitting,0.12%,2021
digital communication,0.12%,2021
dsrc,0.12%,2021
engine,0.12%,2021
free space optical communication,0.12%,2021
group communication,0.12%,2021
higher education institutions,0.12%,2021
human-robot communication,0.12%,2021
hyperspectral image,0.12%,2021
ieee802.11,0.12%,2021
intercluster communication,0.12%,2021
meta-programming,0.12%,2021
multi hop communication,0.12%,2021
numerical modelling,0.12%,2021
object constraint language,0.12%,2021
on-body,0.12%,2021
optical wireless,0.12%,2021
parallel application,0.12%,2021
partial differential equation,0.12%,2021
partitioned global address space,0.12%,2021
power-line communications,0.12%,2021
risk communication,0.12%,2021
scholarly communication,0.12%,2021
semantic annotation,0.12%,2021
session types,0.12%,2021
space communications,0.12%,2021
stochastic geometry,0.12%,2021
teaching model,0.12%,2021
teaching practices,0.12%,2021
teaching process,0.12%,2021
teaching quality,0.12%,2021
underwater acoustic channels,0.12%,2021
underwater acoustic communication,0.12%,2021
vehicle to vehicle communications,0.12%,2021
video communication,0.12%,2021
