Top Domain,Domain Percentage,Year
computer hardware,2.90%,2019
computer system,2.90%,2019
hardware,2.90%,2019
computer imaging and vision,2.76%,2019
internet,2.76%,2019
computer communication networks,2.62%,2019
computer network,2.62%,2019
artificial intelligence,2.49%,2019
computer security,2.49%,2019
human computer interaction,2.49%,2019
computer programming,2.35%,2019
natural language,2.21%,2019
signal processing,2.21%,2019
software engineering,2.21%,2019
computer operating systems,1.93%,2019
data mining,1.93%,2019
information technology,1.93%,2019
operating system,1.93%,2019
robotics,1.80%,2019
bioinformatics,1.66%,2019
elearning,1.66%,2019
information retrieval,1.66%,2019
medical informatics,1.66%,2019
probability,1.66%,2019
theoretical computer science,1.66%,2019
software,1.52%,2019
speech communication,1.52%,2019
automation,1.38%,2019
correlation analysis,1.24%,2019
numerical analysis,1.24%,2019
regression analysis,1.24%,2019
statistical analysis,1.24%,2019
statistical model,1.24%,2019
statistics,1.24%,2019
cad,1.10%,2019
commerce,1.10%,2019
information theory,1.10%,2019
matrix algebra,1.10%,2019
numerical method,1.10%,2019
augmentative and alternative communication,0.97%,2019
curricula,0.97%,2019
electricity,0.97%,2019
sales,0.97%,2019
telephone,0.97%,2019
cloud service,0.83%,2019
approximation theory,0.69%,2019
control theory,0.69%,2019
health expenditures,0.69%,2019
investment,0.69%,2019
mathematical transformations,0.69%,2019
optimization,0.69%,2019
computer-assisted language learning,0.55%,2019
semantic technology,0.55%,2019
semantic web,0.55%,2019
semantic web applications,0.55%,2019
semantic web technology,0.55%,2019
boolean function,0.41%,2019
digital arithmetic,0.41%,2019
educational technology,0.41%,2019
finite element method,0.41%,2019
formal languages,0.41%,2019
knowledge representation,0.41%,2019
maximum likelihood estimation,0.41%,2019
ontology,0.41%,2019
programming language,0.41%,2019
translation %28languages%29,0.41%,2019
anonymous communication,0.28%,2019
computer assisted language learning,0.28%,2019
functional languages,0.28%,2019
laser communication,0.28%,2019
machine to machines,0.28%,2019
social psychology,0.28%,2019
social science,0.28%,2019
social support,0.28%,2019
vehicles,0.28%,2019
wavelet transform,0.28%,2019
aircraft communication,0.14%,2019
collective communication,0.14%,2019
communication bandwidth,0.14%,2019
communication constraints,0.14%,2019
communication cost,0.14%,2019
communication delay,0.14%,2019
communication network,0.14%,2019
communication overhead,0.14%,2019
communication protocol,0.14%,2019
communication robot,0.14%,2019
conformal mapping,0.14%,2019
cooperative communication,0.14%,2019
covert communication,0.14%,2019
curve fitting,0.14%,2019
data cube,0.14%,2019
digital communication,0.14%,2019
dsrc,0.14%,2019
economic and social effects,0.14%,2019
economic development,0.14%,2019
fault detection,0.14%,2019
free space optical communication,0.14%,2019
group communication,0.14%,2019
hardware description languages,0.14%,2019
higher education institutions,0.14%,2019
human-robot communication,0.14%,2019
hyperspectral image,0.14%,2019
ieee802.11,0.14%,2019
intercluster communication,0.14%,2019
meta-programming,0.14%,2019
modeling language,0.14%,2019
multi hop communication,0.14%,2019
new teaching,0.14%,2019
object constraint language,0.14%,2019
object-oriented languages,0.14%,2019
on-body,0.14%,2019
optical wireless,0.14%,2019
parallel application,0.14%,2019
partial differential equation,0.14%,2019
partitioned global address space,0.14%,2019
power-line communications,0.14%,2019
risk communication,0.14%,2019
scholarly communication,0.14%,2019
secure communications,0.14%,2019
session types,0.14%,2019
social aspect,0.14%,2019
social status,0.14%,2019
space communications,0.14%,2019
teaching model,0.14%,2019
teaching practices,0.14%,2019
teaching process,0.14%,2019
teaching quality,0.14%,2019
type system,0.14%,2019
underwater acoustic channels,0.14%,2019
underwater acoustic communication,0.14%,2019
vehicle to vehicle communications,0.14%,2019
video communication,0.14%,2019
