Job Advertisement,Matched Tools
"8311 deutsche bahn   quereinstieg zum rangierbegleiter in mannheim, kornwestheim, offenburg und weil am rhein (w/m)

  für über 500 verschiedene berufe suchen wir jährlich mehr als 7.000 motivierte mitarbeiter in ganz deutschland. auch quereinsteiger sind bei uns willkommen. du hast schon erfahrung und lust auf etwas neues? dann bewirb dich bei uns! wir machen dich in den ersten monaten fit für deine neue aufgabe.

  zum 01. dezember 2017 suchen wir dich für die db cargo ag als quereinsteiger an den standorten mannheim, kornwestheim, offenburg und weil am rhein

  deine aufgaben:
  * abstellen und sichern von fahrzeugen
  * bedienen von gleisanschlüssen
  * bilden und auflösen der erforderlichen züge
  * durchführung von bremsproben und wagenprüfungen
  * sichere anwendung des rangierfunks
  * bedienung von dv programmen zur organisation des güterverkehrs

  dein profil:
  * interesse an körperlich anspruchsvollen tätigkeiten im freien
  * kommunikationsfähigkeit und kundenorientierung
  * teamfähigkeit sowie verantwortungsbewusstsein
  * bereitschaft zum schichtdienst auch am wochenende

  wir bieten:
  * stabilität und sicherheit:
  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  * attraktive konditionen:
  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i. d. r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen, z. b. das db job-ticket, freifahrten im nah- und fernverkehr (auch für familienangehörige), diverse reisevergünstigungen, eine betriebliche altersvorsorge und vergünstigte versicherungskonditionen.
  * arbeitsplätze in ganz deutschland:
  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.
  * individuelle weiterentwicklung und aufstiegschancen:
  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  bewirb dich online mit der angabe deiner gehaltsvorstellung auf die ausschreibungsnummer 250257.
  deine persönlichen daten behandeln wir vertraulich - www.deutschebahn.com/datenschutz-personal.","['w', 'dv']"
"  quereinstieg zum rangierbegleiter (w/m) in bischofsheim, koblenz und limburg/lahn

  für über 500 verschiedene berufe suchen wir jährlich mehr als 7.000 motivierte mitarbeiter in ganz deutschland. auch quereinsteiger sind bei uns willkommen. du hast schon erfahrung und lust auf etwas neues? dann bewirb dich bei uns! wir machen dich in den ersten monaten fit für deine neue aufgabe.

  zum 01. januar 2018 suchen wir dich für die db cargo ag an den standorten mainz-bischofsheim, koblenz und limburg an der lahn.

  deine aufgaben:
  * zeitgerechte bereitstellung von zügen
  * ordnungsgemäße durchführung von rangierfahrten und bremsproben
  * wartungs-, pflege- und reinigungsarbeiten an eisenbahnfahrzeugen
  * zuführen und abholen von transporten
  * schadensprüfung von fahrzeugen und auslösung von reparaturaufträgen

  dein profil:
  * kenntnisse im gewerblich-technischen bereich
  * bereitschaft zur qualifizierung im rangierdienst
  * gesundheitliche eignung, körperliche belastbarkeit
  * bereitschaft zum arbeiten im freien und zum schichtdienst (früh-, spät- und nachtschicht)
  * hohe zuverlässigkeit, teamfähigkeit und selbständige arbeitsweise
  * eignung und tauglichkeit werden durch einen eignungstest und eine betriebsärztliche untersuchung festgestellt
  * führerscheinklasse b und eigener pkw

  wir bieten:
  * stabilität und sicherheit:
  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  * attraktive konditionen:
  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i. d. r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen, z. b. das db job-ticket, freifahrten im nah- und fernverkehr (auch für familienangehörige), diverse reisevergünstigungen, eine betriebliche altersvorsorge und vergünstigte versicherungskonditionen.
  * arbeitsplätze in ganz deutschland:
  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.
  * individuelle weiterentwicklung und aufstiegschancen:
  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  bewirb dich online mit der angabe deiner gehaltsvorstellung auf die ausschreibungsnummer 268340.
  deine persönlichen daten behandeln wir vertraulich - www.deutschebahn.com/datenschutz-personal.

  jetzt bewerben und mehr erfahren: www.deutschebahn.com/karriere",['w']
"  stellenangebot - eisenbahner/in - betriebsdienst - lokführer und transport

  überblick über das stellenangebot

  referenznummer

  10000-1156770361-s
  titel des stellenangebots

  eisenbahner/in - betriebsdienst - lokführer und transport
  alternativberufe
  eisenbahner/in - betriebsdienst - fahrweg
  stellenangebotsart

  arbeitsplatz (sozialversicherungspflichtig)
  arbeitgeber
  fde gmbh & co. kg

  branche: befristete überlassung von arbeitskräften, betriebsgröße: weniger als 6
  stellenbeschreibung

  die fde gmbh & co. kg mit mitarbeitern im gesamten bundesgebiet sind wir einer der führenden personaldienstleister. unsere kunden sind top unternehmen, in deren auftrag wir ihnen unterschiedliche interessante angebote unterbreiten und die für sie passende stelle finden können. durch die arbeitnehmerüberlassung bieten sich ihnen vielfältige und abwechslungsreiche aufgaben am arbeitsmarkt. auf sie warten spannende jobs mit vielen einsatz- und entwicklungsmöglichkeiten.

  aktuell auf jobsuche?

  bei unserem langjährigen partner, bietet sich diese interessante perspektive im rahmen der arbeitnehmerüberlassung mit der option auf übernahme.

  das sind ihre tätigkeitsschwerpunkte:

  - triebfahrzeugführer im rangierdienst
  - rangierbegleiter im rangierdienst
  - ggf. wartungs- & instandhaltungsarbeiten
  - dokumentation
  - qualitätskontrolle

  das bringen sie mit:

  - führerschein triebfahrzeugführer kl. a bzw. alt vdv kl. 1
  - fachbezogene aus- bzw. weiterbildung
  - gültige fortbildungsnachweise eisenbahn
  - tauglichkeit gemäß tfv (verordnung über die erteilung der fahrberechtigung für triebfahrzeugführer)
  - grundkenntnisse word, excel & outlook
  - wünschenswert: ausbildung an funkfernsteuerung
  - wünschenswert: bereitschaft zu bundesweiten fahrten
  - gerne auch berufsanfänger
  - bereitschaft zum schicht- (f/s/n), wochenend- und bereitschaftsdiensten
  - teamfähigkeit, verantwortungsbewusstsein

  ---
  falls sie weitere fragen zum stellenangebot haben,
  dann wenden sie sich bitte schriftlich (e-mail, fax oder post) an uns. gerne können sie alternativ auch
  einen rückruf über unsere homepage: www.fde.gmbh vereinbaren. vielen dank!
  führungsverantwortung

  keine führungsverantwortung
  arbeitsorte

  worms, rheinland-pfalz, deutschland
  in der nachfolgenden kartenansicht sind die ausübungsorte des stellenangebots in einer interaktiven deutschlandkarte eingezeichnet. die gleichen informationen finden sie auch in textueller form auf dieser seite.
  routenplaner karte zum stellenangebot karte ausblenden
  beginn der tätigkeit

  sofort
  anzahl offener stellen

  1 stelle
  vormerken

  konditionen des stellenangebots

  arbeitszeit

  vollzeit, schicht
  38,5 wochenstunden
  vergütung und zusatzleistungen

  nach vereinbarung (übertariflich) + zulagen
  bei der besetzung des stellenangebotes findet ein tarifvertrag anwendung.
  tarifvertrag: igz
  befristung

  unbefristetes arbeitsverhältnis

  anforderungen an den bewerber

  sprachkenntnisse

  zwingend erforderlich
  deutsch

  reise-/ montagebereitschaft

  nicht erforderlich

  kontaktdaten

  rückfragen und bewerbungen an

  fde gmbh & co. kg
  frau tamara petri
  fb personaldienstleistungen
  an der eichbrücke 3
  67105 schifferstadt
  rheinland-pfalz
  deutschland
  telekommunikation

  telefonnummer: +49 (8 00) 6 64 69 41
  faxnummer: +49 (62 35) 92 08 70 99
  e-mail
  personal.vorderpfalz@fde.gmbh
  gewünschte bewerbungsarten

  per e-mail, schriftlich, telefonisch, über internet
  internetadresse
  weitere informationen zum stellenangebot im internet
  angaben zur bewerbung

  geforderte anlagen: lebenslauf, zeugnisse
  nachricht an arbeitgeber bewerben

  legende

  kartenausschnitt vergrößern

  kartenausschnitt verkleinern

  externer link","['1', 'word', 'excel', 'outlook', 'f', 'e-mail', '1', 'e-mail', 'e-mail']"
"
  ausbildung industriekaufmann/-frau


  auszug der stellenbeschreibung

  ausbildung industriekaufmann/-frau powered by pioneers. dein einstieg bei rolls-royce power systems nicht erst seit der entwicklung des ersten schnelllaufenden dieselmotors mit 150 ps im jahr 1919 ist pioniergeist die treibende kraft von rolls-royce power systems. was uns und unsere mitarbeiter ausmacht, ist die leidenschaft, neue wege zu gehen und dinge voranzutreiben. schlummert auch in dir ein pionier? dann bring deine kreativität, ideen und entdeckerfreude dort ein, wo sie etwas bewegen - mit einer berufsausbildung bei rolls-royce power systems. ausbildungsberuf industriekaufmann/-frau mit zusatzqualifikation internationales wirtschaftsmanagement mit fremdsprachen werde teil unseres teams! bewirb dich online bis zum 30. september 2017 auf einen der zahlreichen ausbildungsberufe bei mtu friedrichshafen! ausführliche informationen zur ausbildung und bewerbung erhältst du unter:
  www.rrpowersystems.com/karriere/schueler rolls-royce power systems ag bitte beziehen sie sich bei ihrer bewerbung auf jobs-im-suedwesten.de - vielen dank! informationen zum arbeitgeber rolls-royce power systems ag firmenprofil informationen zum job kontakt für bewerber kontaktperson 88045 friedrichshafen deutschland veröffentlicht am 02.09.2017 einsatzort friedrichshafen beschäftigungsart ausbildung / lehrstellen branche verwaltung und personal

  unternehmen

  rolls-royce power systems ag

  orte

  * friedrichshafen 1 freie stelle

  benötigter abschluss

  abitur / fachabitur

  art der ausbildung

  duale ausbildung
  zur original-stellenanzeige

  ähnliche ausbildungsplätze

  ausbildung fachkraft für kurier-, express- u. postdienstleistungen (m/w) deutsche post ag, aulendorf
  aulendorf
  september 2017
  azubi (w/m) zuglotse / fahrdienstleiter* 2018
  singen (hohentwiel)
  oktober 2018
  azubi (w/m) eisenbahner im betriebsdienst fachrichtung lokführer und transport 2018","['1', 'w', 'w', 'w']"
"  stellenangebot - lokrangierführer (m/w) (eisenbahner/in - betriebsdienst - lokführer und transport)

  überblick über das stellenangebot

  referenznummer

  10000-1156797333-s
  titel des stellenangebots

  lokrangierführer (m/w) (eisenbahner/in - betriebsdienst - lokführer und transport)
  alternativberufe
  schienenfahrzeugführer/in
  wagenmeister/in (schienenverkehr)
  stellenangebotsart

  arbeitsplatz (sozialversicherungspflichtig)
  arbeitgeber
  mev eisenbahn verkehrsgesellschaft mbh

  branche: personenbeförderung im eisenbahnfernverkehr , betriebsgröße: zwischen 501 und 5000
  stellenbeschreibung

  die mev eisenbahn-verkehrsgesellschaft mbh ist ein neutraler partner für alle deutschen und europäischen eisenbahnen sowie logistikunternehmen, wenn es darum geht, die schiene für den öffentlichen personenverkehr und gütertransport attraktiver zu gestalten.

  wir suchen zum nächstmöglichen zeitpunkt unbefristet und in vollzeit

  lokrangierführer (m/w)

  für einen einsatz an unserem standort in ludwigshafen

  sie haben eine entsprechende ausbildung erfolgreich abgeschlossen und sammelten bestenfalls bereits einige berufserfahrungen.
  die physische und psychische tauglichkeit für diesen beruf sind ebenso voraussetzungen wie persönliches engagement und ihre bereitschaft zur teilnahme an jährlichen dienstunterrichten und einsatzspezifischen fortbildungen.

  das bringen sie mit:
  - eine ausbildung oder umschulung zum triebfahrzeugführer (m/w)kl. 3 oder tfv/lokrangierführer
  - die gesundheitliche tauglichkeit für diese tätigkeit
  - flexibilität, engagement und motivation
  - kollegialität, zuverlässigkeit und hohe eigenverantwortung

  wir bieten:

  - einen interessanten, sicheren arbeitsplatz in einem dynamischen team
  - ein modernes arbeitsumfeld in einem erfolgreichen unternehmen
  - eine attraktive leistungsgerechte vergütung nach buralftv
  - offene türen, gleich auf welcher etage
  - regelmäßige fort- und weiterbildung
  - kompetente ansprechpartner, die sie in ihrer täglichen arbeit unterstützen

  haben wir ihr interesse geweckt?
  dann senden sie ihre aussagekräftigen bewerbungsunterlagen an:

  mev eisenbahn-verkehrsgesellschaft mbh
  herr david palme
  am victoria-turm 2
  68163 mannheim
  bewerbung@m-e-v.de
  führungsverantwortung

  keine führungsverantwortung
  arbeitsorte

  ludwigshafen am rhein, rheinland-pfalz, deutschland
  in der nachfolgenden kartenansicht sind die ausübungsorte des stellenangebots in einer interaktiven deutschlandkarte eingezeichnet. die gleichen informationen finden sie auch in textueller form auf dieser seite.
  routenplaner karte zum stellenangebot karte ausblenden
  beginn der tätigkeit

  sofort
  anzahl offener stellen

  1 stelle
  vormerken

  konditionen des stellenangebots

  arbeitszeit

  vollzeit, wochenende, nachtarbeit, schicht
  40 std/wo
  vergütung und zusatzleistungen

  tarifvertrag (mit gdl)
  bei der besetzung des stellenangebotes findet ein tarifvertrag anwendung.
  tarifvertrag: haustarifvertrag/bundesrahmen-lokführer-tv/sgv

  anforderungen an den bewerber

  berufsausbildung/ studium
  eisenbahner/in - betriebsdienst - lokführer und transport
  transport, verkehr

  grundkenntnisse
  lokomotivführung, schienenverkehr

  sprachkenntnisse

  zwingend erforderlich
  deutsch

  persönliche stärken
  auffassungsfähigkeit/-gabe, entscheidungsfähigkeit, motivation/ leistungsbereitschaft, selbständiges arbeiten, zielstrebigkeit/ergebnisorientierung
  lizenzen und berechtigungen

  zwingend erforderlich
  bremsprobenberechtigung (eisenbahn)

  reise-/ montagebereitschaft

  uneingeschränkt

  kontaktdaten

  rückfragen und bewerbungen an

  mev eisenbahn-verkehrsgesellschaft mbh
  herr david palme
  am victoria-turm 2
  68163 mannheim
  baden-württemberg
  deutschland
  telekommunikation

  telefonnummer: +49 (6 21) 72 84 51 27
  mobilnummer: +49 (1 62) 2 61 92 38
  faxnummer: +49 (6 21) 7 28 45 27
  e-mail
  bewerbung@m-e-v.de
  gewünschte bewerbungsarten

  per e-mail, schriftlich, persönlich, über internet
  internetadresse
  weitere informationen zum stellenangebot im internet
  angaben zur bewerbung

  anschreiben, lebenslauf, lichtbild, zeugnisse, baureihenberechtigungen, sonstige berechtigungen
  nachricht an arbeitgeber bewerben

  legende

  kartenausschnitt vergrößern

  kartenausschnitt verkleinern

  externer link","['w', 'w', 'w', 'david', '1', 'david', '1', 'e-mail', 'e-mail']"
" zweigstelle untermeitingen   stellenangebot - lokrangierführer/in kl. 3 güternahverkehr - norddeutschland (eisenbahner/in - betriebsdienst - lokführer und transport)

  überblick über das stellenangebot

  referenznummer

  10000-1156241399-s
  titel des stellenangebots

  lokrangierführer/in kl. 3 güternahverkehr - norddeutschland (eisenbahner/in - betriebsdienst - lokführer und transport)
  alternativberufe
  schienenfahrzeugführer/in
  stellenangebotsart

  arbeitsplatz (sozialversicherungspflichtig)
  arbeitgeber
  pd-beratungs- und beteilugungs- gmbh , zweigstelle untermeitingen

  branche: betrieb von verkehrswegen für schienenfahrzeuge, betriebsgröße: zwischen 501 und 5000
  stellenbeschreibung

  ihr berufliches ziel ist unsere aufgabe!
  verwirklichen sie sich mit unserer hilfe ihr berufliches ziel und schnappen sich folgenden noch freien ""stuhl""- arbeitsplatz in unserem team.

  wir suchen zum nächstmöglichen termin in festeinstellung jeweils ein/e lokrangierführer/in klasse3 im güternahverkehr für die standorte : bremen, kiel, rostock, stralsund, cuxhaven und hamburg

  ihre aufgaben:
  bewegen von eisenbahnfahrzeugen im rangierdienst mittels funkfernsteuerung
  durchführung von zugprüfungen
  erstellen von wagenlisten und bremszetteln
  führen der edv-gestützte dokumentation von wagenlaufwegen
  bedienung von gleisanschlüssen
  kontakt mit anderen betriebseisenbahnern und endkunden

  ihr profil:
  abgeschlossene ausbildung triebfahrzeugführer(in)
  nach vdv oder tfv
  nachweise über tauglichkeit (bahnärztlich und bei ausbildung nach vdv auch die psychologische)
  nachweis zum wagenprüfer(in) g
  idealerweise auch nachweis über schulung für fv-ne, pzb und lzb
  nachweis über regelmäßige teilnahme fit-schulungen/ dienstunterricht
  idealerweise vorhandene baureihenberechtigung von min. einer der hier genannten baureihen: g1205, g1203, v100, gravita und v60
  idealerweise sind sie im besitz eines pkw-führerschein = ist aber kein muss

  was wir bieten:
  übertarifliche vergütung, erstattung aller reisekosten und bereitstellung aller notwendigen dienstmaterialen wie u.a.: handy, bei bedarf auch tablett oder notebook, bei bedarf und weiterer entfernung zum einsatzort eine bahncard, bei ständig wechselnden einsatzorten auch firmenauto mit tankkarte und bei weiter entfernten einsatzorten stellen wir gerne zusätzlich eine unterkunft vor ort.

  wir garantieren eine umfangreiche einarbeitung , kurze entscheidungswege und schulungsmöglichkeiten.
  führungsverantwortung

  keine führungsverantwortung
  arbeitsorte

  kiel, schleswig-holstein, deutschland
  deutschland
  stralsund, mecklenburg-vorpommern, deutschland
  cuxhaven, niedersachsen, deutschland
  hamburg, hamburg, deutschland
  rostock, mecklenburg-vorpommern, deutschland
  bremen, bremen, deutschland
  in der nachfolgenden kartenansicht sind die ausübungsorte des stellenangebots in einer interaktiven deutschlandkarte eingezeichnet. die gleichen informationen finden sie auch in textueller form auf dieser seite.
  routenplaner karte zum stellenangebot karte ausblenden
  beginn der tätigkeit

  ab 18.09.2017
  anzahl offener stellen

  7 stellen
  vormerken

  konditionen des stellenangebots

  arbeitszeit

  vollzeit, wochenende, nachtarbeit, schicht
  vergütung und zusatzleistungen

  bei der besetzung des stellenangebotes findet kein tarifvertrag anwendung.
  befristung

  unbefristetes arbeitsverhältnis

  anforderungen an den bewerber

  berufsausbildung/ studium
  eisenbahner/in - betriebsdienst - lokführer und transport
  transport, verkehr

  erweiterte kenntnisse
  bahnbetriebsdienst, fahrzeugführung, lokomotivführung, schienenverkehr, transport

  grundkenntnisse
  betriebssicherheit von transportmitteln kontrollieren, rangierbetrieb

  dienstleistungen

  erweiterte kenntnisse
  transportsicherung, -bewachung

  führerscheine

  zwingend erforderlich
  lokomotiv-/triebfahrzeugführerschein klasse 3

  wünschenswert
  fahrerlaubnis b pkw/kleinbusse (alt: fs 3)

  kontaktdaten

  rückfragen und bewerbungen an

  zugkraft 365
  herr/frau personalabteilung
  lechfelderstrasse 22a
  86836 untermeitingen
  bayern
  deutschland
  telekommunikation

  telefonnummer: +49 (82 32) 5 03 18 87
  faxnummer: +49 (82 32) 5 03 19 60
  e-mail
  bewerbung@flexkraft365.de
  gewünschte bewerbungsarten

  über jobbörse, per e-mail, schriftlich, telefonisch, persönlich, über internet
  internetadresse
  weitere informationen zum stellenangebot im internet
  angaben zur bewerbung

  anschreiben, lebenslauf, kopie triebfahrzeug- fs, kopie tauglichkeit, kopie schulungsnachweise (von ausbildungsnachweis bis hin zu rfu nachweisen wenn diese vorhanden sind) ,zeugnisse
  nachricht an arbeitgeber bewerben

  legende

  kartenausschnitt vergrößern

  kartenausschnitt verkleinern

  externer link","['g', '32', '32', 'e-mail', 'e-mail']"
"  rangierer m/w

  barth spedition gmbh
  72393 burladingen
  02.09.2017

  weiterleiten:

  daten dieser anzeige

  job-id: 6246809__1
  rangierer m/w
  barth spedition gmbh
  kontakt

  http://www.barth.eu
  anzeigeninhalt

  [stellenangebote]
  berufsfeld

  transport/ logistik/ materialwirtschaft
  branche

  logistik/ transport/ verkehr
  position

  angestellter/ fachkraft
  art der anstellung

  vollzeit
  dienstsitz

  72393 burladingen
  anzeige 421 / 11560
  * © schwarzwälder bote
  * mediadaten
  * datenschutz
  * agb
  * impressum
  * nutzungsbasierte onlinewerbung

  versenden sie folgende stelle per e-mail:

  rangierer m/w","['w', 'w', 'e-mail', 'w']"
"  zurück
  21.08.2017
  stellenangebot-nr.: 1/5852
  einsatzort:
  bundesgebiet
  kategorie:
  technik/engineering/it
  tätigkeitsbereich:
  wagenmeister (m/w)
  arbeitszeit:
  vollzeit
  beschäftigungsart:
  festanstellung
  verfügbarkeit ab:
  zum nächstmöglichen zeitpunkt
  bewerbung:
  per e-mail
  link zur onlinebewerbung:
  zur onlinebewerbung
  drucken
  merken

  wagenmeister g / rangierbegleiter (m/w) bundesgebiet

  wir sind ein national und international tätiges bahn-logistik-unternehmen mit sitz in salzburg/freilassing und wickeln europaweit für industrie- und handelsunternehmen die schienenseitige beschaffungslogistik ab.
  positionsbeschreibung

  wagenmeister g / rangierbegleiter (m/w)
  aufgaben
  * wagentechnische untersuchung und überprüfung von wagen im güterverkehr im betrieb, in hinblick auf betriebssicherheit.
  * wagentechnische untersuchung und überprüfung von güterzügen im betrieb bezüglich ordnungsgemäßer zugbildung, insbesondere unter beachtung der verladevorschriften.
  * regelungen des avv, regeln für die beförderung von gefährlichen gütern und außergewöhnlichen sendungen
  * vorbereitung von zügen (kuppeln der fahrzeuge, bremsen einstellen, sowie erstellung und prüfung von wagenlisten, bremszetteln und sonstigen zugpapieren)
  * rangierbegleiter-tätigkeiten

  anforderungen
  * eine ausbildung als wagenmeister / rangierbegleiter
  * pkw führerschein
  * die gesundheitliche tauglichkeit für diese tätigkeit
  * bereitschaft zur schicht-, nacht-, sonn- und feiertagsarbeit
  * bereitschaft zu zeitlich und geographisch flexibler einsatztätigkeit
  * und idealerweise bereits einschlägige berufserfahrung mitbringen

  wir bieten
  * zum branchendurchschnitt überdurchschnittliches gehalt.
  * einen interessanten, abwechslungsreichen und sicheren arbeitsplatz
  * dienstwagen
  * regelmäßige fort- und weiterbildung

  kontakt
  salzburger eisenbahn transportlogistik gmbh (setg)

  attila lobos

  e-mail: attila.lobos@setg.at

  tel.: +43 664 88 678 671

  zurück","['w', 'e-mail', 'g', 'w', 'g', 'w', 'e-mail']"
"  zurück
  11.09.2017
  stellenangebot-nr.: 1/5785
  einsatzort:
  mainz umgebung
  kategorie:
  betrieb/verkehr
  tätigkeitsbereich:
  rangierer/rangierbegleiter (m/w)
  arbeitszeit:
  vollzeit
  beschäftigungsart:
  festanstellung
  verfügbarkeit ab:
  zum nächstmöglichen zeitpunkt
  bewerbung:
  per e-mail, schriftlich, telefonisch
  drucken
  merken

  rangierbegleiter mainz umgebung

  die sgl- gmbh ist eines der führenden eisenbahnverkehrsunternehmen im bereich der bauzug- und güter- logistik in deutschland.
  positionsbeschreibung

  wir suchen für unseren kunden aus dem bereich produktion für den großraum mainz mehrere
  rangierbegleiter (m/w)
  aufgaben
  * zugvorbereitung
  * zugbildung und -auflösung
  * durchführung von rangieraufgaben

  anforderungen
  * sie haben eine abgeschlossenen ausbildung zum arbeitszugführer oder rangierbegleiter.
  * gesundheitliche und psychologische tauglichkeit.
  * sind körperlich und psychisch belastbar.
  * sie verfügen über einen gültigen pkw-führerschein
  * sie beherrschen deutsch in wort und schrift
  * schichtdienst, auch nachts und am wochenende, schreckt sie nicht ab.

  wir bieten
  * einen sicheren und unbefristeten arbeitsplatz
  * überdurchschnittliche bezahlung sowie alle notwendigen und umfassenden betriebsmittel
  * soziale leistungen und gutes betriebsklima

  bitte senden sie ihre vollständige bewerbung mit angabe zu ihrer gehaltsvorstellung, sowie dem frühestmöglichen eintrittstermin vorzugsweise per e-mail an:

  sgl-schienen güter logistik gmbh
  fraunhofer straße 9
  85221 dachau
  tel.: 08131/33357-0
  fax: 08131/33357-66
  ansprechpartner : richard wagner
  mobil: 0152-09269863

  e-mail: bewerbung@sgl-net.de

  kontakt
  sgl-schienen güter logistik gmbh
  fraunhofer straße 9
  85221 dachau
  tel.: 08131/33357-0
  fax: 08131/33357-66
  ansprechpartner : richard wagner
  mobil: 0152-09269863

  e-mail: bewerbung@sgl-net.de

  zurück","['w', 'e-mail', 'w', 'e-mail', 'e-mail', 'e-mail']"
"  weiterbildung lokführer / triebfahrzeugführer

  eisenbahngesellschaft potsdam mbh wittenberge
  + eingestellt am 04.09.2017
  + beschäftigungsart: vollzeit
  + karrierestufe: mit berufserfahrung
  + branche: transport und logistik
  04.09.2017 09:35
  die eisenbahngesellschaft potsdam mbh ist ein privates eisenbahnverkehrsunternehmen mit dem anspruch, kompetente und zuverlässige güterverkehrstransporte auf der schiene im nah- und fernverkehr für unsere kunden zu erbringen. wir sind an verschiedenen meldestellen deutschlandweit aktiv.
  wir suchen für alle meldestellen zukünftig lokführer / triebfahrzeugführer (m/w) und bieten
  bieten dafür auch quereinsteigern die möglichkeit, sich auf diese positionen zu qualifizieren: es starten im oktober 2017 je eine weiterbildung zum triebfahrzeugführer in pritzwalk und berlin, die im september 2018 enden. diese weiterbildung ist mit bildungsgutschein förderfähig.
  ein motiviertes und freundliches team, spaß an der arbeit, entwicklungsmöglichkeiten und eine marktorientierte vergütung erwarten sie.
  wir freuen uns auf ihre vollständigen bewerbungsunterlagen:
  anja lüdemann",['w']
