Job Advertisement,Matched Tools
"  quereinstieg zum rangierbegleiter (w/m)

  was dich erwartet

  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter. und das in ganz deutschland. ob erfahrene profis oder berufsstarter - wir bieten zahlreiche einstiegs- und weiterbildungsmöglichkeiten.
  deine aufgaben

  * beachten und optimieren der planungsunterlagen (z.b. rangierarbeits-, gleisbesetzungs- und zugbildungsplan, bahnhofsfahrordnung, reinigungspläne)
  * meldung erkannter mängel an fahrzeugen, ladungen oder rangiermitteln und mitwirkung bei der auslösung von reparaturaufträgen
  * ausführung schriftlicher arbeiten im zusammenhang mit der zugfertigstellung
  * selbstständige durchführung von bremsproben
  * übernahme der aufgaben des weichenwärters in abgegrenzten handweichenbereichen unter beachtung der örtlichen richtlinien
  * regelmäßige teilnahme an fortbildungsmaßnahmen

  qualifikationen
  * abgeschlossene technische ausbildung wünschenswert
  * berufserfahrung im rangierbetrieb von vorteil
  * sehr gutes technisches verständnis
  * bereitschaft zum schicht- und wechelsdienst
  * verhandlungssichere deutschkenntnisse
  * medizinische und psychologische eignung

  steckbrief

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m)

  unternehmen:
  deutsche bahn ag

  standort:
  würzburg

  berufsgruppe:
  sonstiges

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.11.2018

  nummer:
  10586
  jetzt bewerben

  quereinstieg zum rangierbegleiter (w/m)
  wir bieten

  * stabilität und sicherheit: du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.
  * attraktive konditionen: du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i. d. r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen, z. b. das db job-ticket, freifahrten im nah- und fernverkehr (auch für familienangehörige), diverse reisevergünstigungen, eine betriebliche altersvorsorge und vergünstigte versicherungskonditionen.
  * arbeitsplätze in ganz deutschland: wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.
  * individuelle weiterentwicklung und aufstiegschancen: mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  fragen?
  wir helfen gern weiter

  unsere recruiter stehen dir zur verfügung, um fragen zu dieser stelle zu beantworten.

  matschurek kathrin

  https://www.deutschebahn.com/karriere
  https://www.xing.com/companies/deutschebahn

  jetzt bewerben

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m)

  unternehmen:
  deutsche bahn ag

  standort:
  würzburg

  berufsgruppe:
  sonstiges

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.11.2018

  nummer:
  10586
  jetzt bewerben
  schwerbehinderte menschen werden bei gleicher eignung bevorzugt. aus gründen der besseren lesbarkeit wird auf die gleichzeitige verwendung männlicher und weiblicher sprachformen verzichtet. sämtliche personenbezeichnungen gelten gleichermaßen für alle geschlechter. bewirb dich jetzt online mit der angabe deiner gehaltsvorstellung. deine persönlichen daten behandeln wir vertraulich: www.deutschebahn.com/datenschutz-personal bewerben und mehr erfahren: www.deutschebahn.com/karriere
  © 2018 deutsche bahn ag","['w', 'w', 'w', 'w']"
"  quereinstieg zum rangierbegleiter (w/m) in ingolstadt 06/18

  was dich erwartet

  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter in ganz deutschland. auch quereinsteiger sind bei uns willkommen. du hast schon erfahrung und lust auf etwas neues? dann bewirb dich bei uns! wir machen dich in den ersten monaten fit für deine neue aufgabe.
  deine aufgaben

  zum 01.06.2018 suchen wir dich für die db cargo ag für den standort ingolstadt. nach einer 3 monatigen innerbetrieblichen qualifizierung bereiten wir dich nach bestehen der eignung auf deinen jobeinstieg als rangierbegleiter vor.

  deine aufgaben:
  * zeitgerechte bereitstellung von zügen
  * ordnungsgemäße durchführung von rangierfahrten und bremsproben
  * wartungs-, pflege- und reinigungsarbeiten an eisenbahnfahrzeugen
  * zuführen und abholen von transporten
  * schadensprüfung von fahrzeugen und auslösung von reparaturaufträgen

  qualifikationen

  dein profil:
  * kenntnisse im gewerblich-technischen bereich
  * bereitschaft zur qualifizierung im rangierdienst
  * gesundheitliche eignung, körperliche belastbarkeit
  * bereitschaft zum arbeiten im freien und zum schichtdienst (früh-, spät- und nachtschicht)
  * hohe zuverlässigkeit, teamfähigkeit und selbständige arbeitsweise
  * qualifizierender hauptschulabschluss und eine abgeschlossene berufsausbildung z.b. als elektroniker oder industriemechaniker.
  * bewerbungen bereits ausgebildeter rangierbegleiter sind selbstverständlich ebenso willkommen

  steckbrief

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m) in ingolstadt 06/18

  unternehmen:
  deutsche bahn ag

  standort:
  ingolstadt

  berufsgruppe:
  technik

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.06.2018

  nummer:
  10898
  jetzt bewerben

  quereinstieg zum rangierbegleiter (w/m) in ingolstadt 06/18
  wir bieten

  arbeitsplätze deutschlandweit nap, attraktive konditionen nap, individuelle weiterentwicklung nap, stabilität und sicherheit nap

  fragen?
  wir helfen gern weiter

  unsere recruiter stehen dir zur verfügung, um fragen zu dieser stelle zu beantworten.

  zehetmayer dennis

  https://www.deutschebahn.com/karriere
  https://www.xing.com/companies/deutschebahn

  jetzt bewerben

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m) in ingolstadt 06/18

  unternehmen:
  deutsche bahn ag

  standort:
  ingolstadt

  berufsgruppe:
  technik

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.06.2018

  nummer:
  10898
  jetzt bewerben
  schwerbehinderte menschen werden bei gleicher eignung bevorzugt. aus gründen der besseren lesbarkeit wird auf die gleichzeitige verwendung männlicher und weiblicher sprachformen verzichtet. sämtliche personenbezeichnungen gelten gleichermaßen für alle geschlechter. deutsche bahn ag is acting as an employment agency in relation to this vacancy.
  © 2018 deutsche bahn ag","['w', 'w', 'w', 'w']"
"  quereinstieg zum rangierbegleiter (w/m)

  was dich erwartet

  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter in ganz deutschland. auch quereinsteiger sind bei uns willkommen. du hast schon erfahrung und lust auf etwas neues? dann bewirb dich bei uns! wir machen dich in den ersten monaten fit für deine neue aufgabe.
  deine aufgaben

  zum 01.06.2018 suchen wir dich für die db cargo ag an den standorten
  mühldorf (inn), dingolfing, landshut, burghausen, freilassing und rosenheim. nach einer 3 monatigen qualifizierung bereiten wir dich nach bestehen der eignung auf deinen jobeinstieg als rangierbegleiter vor:

  deine aufgaben:
  * zeitgerechte bereitstellung von zügen
  * ordnungsgemäße durchführung von rangierfahrten und bremsproben
  * wartungs-, pflege- und reinigungsarbeiten an eisenbahnfahrzeugen
  * zuführen und abholen von transporten
  * schadensprüfung von fahrzeugen und auslösung von reparaturaufträgen

  qualifikationen

  dein profil:
  * kenntnisse im gewerblich-technischen bereich
  * bereitschaft zur qualifizierung im rangierdienst
  * gesundheitliche eignung, körperliche belastbarkeit
  * bereitschaft zum arbeiten im freien und zum schichtdienst (früh-, spät- und nachtschicht)
  * hohe zuverlässigkeit, teamfähigkeit und selbständige arbeitsweise
  * qualifizierender hauptschulabschluss und eine abgeschlossene berufsausbildung z.b. als elektroniker oder industriemechaniker.
  * bewerbungen bereits ausgebildeter rangierbegleiter sind selbstverständlich ebenso willkommen

  steckbrief

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m)

  unternehmen:
  deutsche bahn ag

  standort:
  mühldorf am inn

  berufsgruppe:
  logistik / materialwi.

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.06.2018

  nummer:
  10896
  jetzt bewerben

  quereinstieg zum rangierbegleiter (w/m)
  wir bieten

  * arbeitsplätze deutschlandweit
  * attraktive konditionen
  * individuelle weiterentwicklung
  * stabilität und sicherheit

  fragen?
  wir helfen gern weiter

  unsere recruiter stehen dir zur verfügung, um fragen zu dieser stelle zu beantworten.

  zehetmayer dennis

  https://www.deutschebahn.com/karriere
  https://www.xing.com/companies/deutschebahn

  jetzt bewerben

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m)

  unternehmen:
  deutsche bahn ag

  standort:
  mühldorf am inn

  berufsgruppe:
  logistik / materialwi.

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.06.2018

  nummer:
  10896
  jetzt bewerben
  schwerbehinderte menschen werden bei gleicher eignung bevorzugt. aus gründen der besseren lesbarkeit wird auf die gleichzeitige verwendung männlicher und weiblicher sprachformen verzichtet. sämtliche personenbezeichnungen gelten gleichermaßen für alle geschlechter. deutsche bahn ag is acting as an employment agency in relation to this vacancy.
  © 2018 deutsche bahn ag","['w', 'w', 'w', 'w']"
"  stellenbeschreibung

  * rangiertätigkeit auf dem betriebsgelände mit terberg-zugmaschine
  * torbestückung am umschlaglager in abstimmung mit dem yard-management
  * durchführung von kühlkontrollen
  * arbeitszeit: 2 - 3 arbeitstage pro woche, ca. 18 - 21/22 uhr

  voraussetzungen

  * gültiger führerschein klasse ce und gültige fahrerkarte
  * fundierte fahr- und rangiererfahrung mit sattelzugmaschine und auflieger
  * grundqualifikation gem. bkrfqg (berufskraftfahrer-qualifikations-gesetz)
  * von vorteil: abgeschlossene ausbildung zum berufskraftfahrer (m/w), erfahrung im umgang mit lebensmitteln
  * hohes maß an verantwortungsbewusstsein und teamfähigkeit

  bitte beziehen sie sich bei ihrer bewerbung auf jobs-im-allgäu.de

  mehr zum job

  anzeigenart       minijob, aushilfe
  arbeitszeit       sonstiges
  vertragsart       geringfügige beschäftigung
  berufliche praxis    mit berufserfahrung
  aus- und weiterbildung sonstiges
  berufskategorie     berufskraftfahrer, logistik, lager / lkw-fahrer, busfahrer, kurierdienst, taxi
  arbeitsort       rudolf-diesel-str. 2, 87740 buxheim

  arbeitsort auf der karte",['w']
"  jobs >
  azubi (w/m) eisenbahner im betriebsdienst fachrichtung lokführer und transport >
  baden-württemberg >
  weil >
  deutsche bahn ag
  alle anzeigennum of num

  azubi (w/m) eisenbahner im betriebsdienst fachrichtung lokführer und transport

  3,7 deutsche bahn ag - weil vor 1 tagen
  bewerbung erfolgt 20.04.18
  jetzt bewerben
  vor 1 tagen
  * job
  * unternehmen
  * bewertungen
  *
  + bewertungen

  was dich erwartet

  die deutsche bahn ist einer der vielfältigsten arbeitgeber deutschlands. wir suchen jedes jahr deutschlandweit über 3.000 auszubildende in 50 berufen, die mit uns gemeinsam noch besser werden wollen.

  deine aufgaben

  zum 1. september 2018 suchen wir dich für die db cargo ag am standort weil am rhein. du hast schon immer davon geträumt, etwas großes zu bewegen? dann werde herrscher über tausende ps.
  * du wirst spezialist im rangieren, zusammenstellen und fahren von zügen des güterverkehrs
  * du erlernst die regeln des sicheren und reibungslosen bahnbetriebs
  * du sorgst dafür, dass unsere züge sicher, pünktlich und zuverlässig das ziel erreichen

  dein profil
  * du hast die schule erfolgreich abgeschlossen
  * du begeisterst dich für technik
  * du bewahrst auch in schwierigen situationen die ruhe und behältst den überblick
  * du scheust dich nicht davor, verantwortung zu übernehmen und entscheidungen zu treffen

  mehr lesenalle anzeigen

  deutsche bahn-fotos

  alle fotos anzeigenalle anzeigen
  alle anzeigennum of num

  bewertungen für deutsche bahn

  erhalten sie jobs wie diesen in ihrem postfach.
  job-mails anfordern

  suchvorschläge","['w', 'w', '1', '1', '1']"
"  quereinstieg zum rangierbegleiter (w/m)

  was dich erwartet

  für über 500 verschiedene berufe suchen wir motivierte mitarbeiter in ganz deutschland. auch quereinsteiger sind bei uns willkommen. du hast schon erfahrung und lust auf etwas neues? dann bewirb dich bei uns! wir machen dich in den ersten monaten fit für deine neue aufgabe.
  deine aufgaben

  zum 01.06.2018 suchen wir dich für die db cargo ag am standort münchen. nach einer 3-monatigen innerbetrieblichen qualifizierung bereiten wir dich nach bestehen der eignung auf deinen jobeinstieg als rangierbegleiter vor.

  deine aufgaben:
  * zeitgerechte bereitstellung von zügen
  * ordnungsgemäße durchführung von rangierfahrten und bremsproben
  * wartungs-, pflege- und reinigungsarbeiten an eisenbahnfahrzeugen
  * zuführen und abholen von transporten
  * schadensprüfung von fahrzeugen und auslösung von reparaturaufträgen

  qualifikationen

  dein profil:
  * kenntnisse im gewerblich-technischen bereich
  * bereitschaft zur qualifizierung im rangierdienst
  * gesundheitliche eignung, körperliche belastbarkeit
  * bereitschaft zum arbeiten im freien und zum schichtdienst (früh-, spät- und nachtschicht)
  * hohe zuverlässigkeit, teamfähigkeit und selbständige arbeitsweise
  * qualifizierender hauptschulabschluss und eine abgeschlossene berufsausbildung z.b. als elektroniker oder industriemechaniker.
  * bewerbungen bereits ausgebildeter rangierbegleiter sind selbstverständlich ebenso willkommen

  steckbrief

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m)

  unternehmen:
  deutsche bahn ag

  standort:
  münchen

  berufsgruppe:
  technik

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.06.2018

  nummer:
  10895
  jetzt bewerben

  quereinstieg zum rangierbegleiter (w/m)
  wir bieten

  * arbeitsplätze deutschlandweit
  * attraktive konditionen
  * individuelle weiterentwicklung
  * stabilität und sicherheit

  fragen?
  wir helfen gern weiter

  unsere recruiter stehen dir zur verfügung, um fragen zu dieser stelle zu beantworten.

  zehetmayer dennis

  https://www.deutschebahn.com/karriere
  https://www.xing.com/companies/deutschebahn

  jetzt bewerben

  stellenbezeichnung:
  quereinstieg zum rangierbegleiter (w/m)

  unternehmen:
  deutsche bahn ag

  standort:
  münchen

  berufsgruppe:
  technik

  vertragsart:
  vollzeit

  eintrittsdatum:
  01.06.2018

  nummer:
  10895
  jetzt bewerben
  schwerbehinderte menschen werden bei gleicher eignung bevorzugt. aus gründen der besseren lesbarkeit wird auf die gleichzeitige verwendung männlicher und weiblicher sprachformen verzichtet. sämtliche personenbezeichnungen gelten gleichermaßen für alle geschlechter. deutsche bahn ag is acting as an employment agency in relation to this vacancy.
  © 2018 deutsche bahn ag","['w', 'w', 'w', 'w']"
"  « zurück weiter » ergebnisliste

  rangierbegleiter/in

  für unseren kunden in münchen suchen wir eine/n

  rangierbegleiter/in

  ihre aufgaben:
  * abstellen und sichern von fahrzeugen
  * bilden, umbilden und vorbereiten der ankommenden alex-züge in enger zusammenarbeit mit dem triebfahrzeugführer/in
  * kuppeln von reisezugwagen und lokomotiven
  * bremsproben an lokbespannten reisezügen
  * sichtkontrollen an reisezugwagen
  * enge zusammenarbeit zwischen triebfahrzeugführer/in und zugbegleiter/in
  * abstimmung mit der leitstelle, insbesondere bei fahrplanabweichungen und anderen unregelmäßigkeiten im betriebsablauf

  ihr profil:
  * abgeschlossene technische ausbildung oder erfahrung in der logistik sind von vorteil
  * ausbildung zum rangierbegleiter im betriebsverfahren fv-db oder die bereitschaft, diese zu erwerben
  * ausbildung zum bremsprobeberechtigten für bremsproben an reisezügen in bremsstellung r+mg oder die bereitschaft, diese zu erwerben
  * optional: ausbildung zum wagenprüfer p
  * freude am arbeiten im team
  * ausgeprägtes verantwortungs- und sicherheitsbewusstsein
  * zuverlässigkeit, körperliche fitness und hohe einsatzbereitschaft
  * zeitliche flexibilität (bereitschaft zu nacht- und wochenenddiensten mit attraktiven zuschlägen)
  * gute deutschkenntnisse in wort und schrift
  * führerschein der klasse b und pkw zur anreise an den einsatzort

  was wir ihnen bieten:
  * attraktive, pünktliche und übertarifliche lohnzahlungen
  * eine sozialversicherungspflichtige, unbefristete beschäftigung
  * eine leistungsgerechte bezahlung nach bza-tarif plus sonderzahlungen wie weihnachts- und urlaubsgeld
  * zuschuss zu den monatlichen fahrtkosten
  * persönliche betreuung durch feste ansprechpartner
  * übernahme durch den kunden

  das sprungbrett für ihre karriere!

  avanti gmbh ist ein zukunftsorientierter, innovativer personaldienstleister mit niederlassungen im gesamten bundesgebiet. als inhabergeführter premiumanbieter haben wir seit 2000 erfahrung in der personalvermittlung und der langfristigen arbeitnehmerüberlassung.

  wir bieten erstklassige perspektiven für ihre karriere zu attraktiven bedingungen und mit persönlicher betreuung. nutzen sie ihre chance und bereichern sie unser team durch engagement, kompetenz und flexibilität.

  bundesweit vermitteln wir qualifiziertes personal an unternehmen der gesundheitswirtschaft, der industrie und des handels. wir bezahlen den tarif des bundesarbeitgeberverbandes der personaldienstleister (bap), der mit dem dgb ausgehandelt wurde, plus qualifikationszulagen.

  sprechen sie mit uns - wir freuen uns auf ihre bewerbung!

  das motivierte avanti-team ist vom fach und hilft ihnen gern weiter bei allen fragen.
  mailen sie uns oder rufen sie uns an, wir besprechen gern die details mit ihnen!

  zusätzliche job-informationen

  einsatzort (umkreis):      de 80335 münchen (50 km)
  branche:                   transport/logistik/verkehr
  tätigkeitsbereich:         sonstige gewerbliche berufe
  karriere-stufe:            arbeitskräfte
  beschäftigungs-verhältnis: vollzeit
  beschäftigungsart:         arbeitnehmerüberlassung (aü);direkte personalvermittlung

  kontaktinformationen

  frau corinna schabenberger de sánchez
  hackerbrücke 6
  80335 münchen
  telefon:  +49 89 545438888
  fax:      +49 89 545438866
  e-mail:   officemuenchen@avanti.jobs
  webseite: www.avanti.jobs
  drucken sofort bewerben
  « zurück weiter » ergebnisliste",['e-mail']
"  jobs >
  quereinstieg zum rangierbegleiter in osnabrück >
  bremen >
  bremerhaven >
  deutsche bahn ag
  alle anzeigennum of num

  quereinstieg zum rangierbegleiter in osnabrück

  3,7 deutsche bahn ag - bremerhaven heute
  bewerbung erfolgt 02.04.18
  jetzt bewerben
  heute
  * job
  * unternehmen
  * bewertungen
  *
  + bewertungen

  quereinstieg zum rangierbegleiter (w/m) in osnabrück, emden, seelze und bremerhaven

  für über 500 verschiedene berufe suchen wir jährlich mehr als 7.000 motivierte mitarbeiter in ganz deutschland. auch quereinsteiger sind bei uns willkommen. du hast schon erfahrung und lust auf etwas neues? dann bewirb dich bei uns! wir machen dich in den ersten monaten fit für deine neue aufgabe.

  zum 01.09.2018 suchen wir dich für das geschäftsfeld db cargo am standort osnabrück, emden, seelze und bremerhaven.

  deine aufgaben:

  - rangierarbeiten wie die zerlegung und fertigstellung von zügen im rangierbahnhof durch die teilarbeitsschritte kuppeln und schlauchen

  - unterstützung des lokrangierführers bei rangierfahrten

  - zugabfertigeraufgaben wie außenkontrolle von wagen, die zollbehandlung sowie das bearbeiten der züge in den edv-systemen

  - zugvorbereiteraufgaben wie die bezettelung von wagen, die ausgangskontrolle sowie die vereinfachte bremsprobe

  dein profil:

  - hauptschulabschluss

  - bereitschaft zum einsatz im wechseldienst (früh- / spät- / nachtdienst)

  - bereitschaft zur arbeit am wochenende

  - pkw-führerschein von vorteil

  - flexibilität und einsatzbereitschaft

  - zuverlässigkeit und belastbarkeit

  - kundenorientierung und wirtschaftlicher umgang mit ressourcen

  die dauer der qualifizierungsmaßnahme beträgt 3 monate.

  wir bieten:

  - stabilität und sicherheit:

  du kannst dir einer langfristigen perspektive durch dein festes arbeitsverhältnis in einem zukunftsorientierten konzern sicher sein.

  - attraktive konditionen:

  du gibst immer alles und bekommst deshalb auch viel zurück: ein marktübliches gehaltspaket mit i. d. r. unbefristeten arbeitsverträgen und beschäftigungssicherung sowie vielfältige nebenleistungen, z. b. das db job-ticket, freifahrten im nah- und fernverkehr (auch für familienangehörige), diverse reisevergünstigungen, eine betriebliche altersvorsorge und vergünstigte versicherungskonditionen.

  - arbeitsplätze in ganz deutschland:

  wir begegnen dir nicht nur auf augenhöhe, sondern in der regel auch dort, wo du zuhause bist. mit arbeitsplätzen in jedem bundesland, in großen städten ebenso wie in kleineren ortschaften und gemeinden.

  - individuelle weiterentwicklung und aufstiegschancen:

  mit seminaren, trainings und qualifizierungen bieten wir dir individuelle und langfristige entwicklungs- und aufstiegschancen auf fach-, projekt- oder führungsebene.

  bewirb dich online mit der angabe deiner gehaltsvorstellung auf die ausschreibungsnummer 265888.

  deine persönlichen daten behandeln wir vertraulich - www.deutschebahn.com/datenschutz-personal.

  jetzt bewerben und mehr erfahren: www.deutschebahn.com/karriere

  - internetadresse: http://tinyurl.com/ya6p8top

  ""
  please click this link for more information about application method:

  http://jobboerse.arbeitsagentur.de/...
  ""
  ""other - see free text""
  mehr lesenalle anzeigen

  deutsche bahn-fotos

  alle fotos anzeigenalle anzeigen
  alle anzeigennum of num

  bewertungen für deutsche bahn

  erhalten sie jobs wie diesen in ihrem postfach.
  job-mails anfordern

  suchvorschläge",['w']
"  { ""@context"": ""http://schema.org"", ""@type"": ""jobposting"", ""title"": ""rangierbegleiter für züge (m/w) gerne quereinsteiger arbeitsort"", ""url"": ""https://www.glassdoor.de/job-listing/rangierbegleiter-für-züge-mw-gerne-quereinsteiger-arbeitsort-lehmann-personalmanagement-jv_ic4348759_ko0,60_ke61,87.htm?jl=2741773873"", ""dateposted"": ""2018-04-21"", ""employmenttype"": ""full_time"", ""salarycurrency"": ""eur"", ""validthrough"": ""2018-05-23"", ""hiringorganization"": { ""@type"": ""organization"", ""name"": ""lehmann personalmanagement gmbh"" }, ""joblocation"": { ""@type"": ""place"", ""address"": { ""@type"": ""postaladdress"", ""addresslocality"": ""kempten (allgaeu)"", ""addressregion"": ""02"", ""addresscountry"": { ""@type"" : ""country"", ""name"" : ""de"" } } , ""geo"": { ""@type"": ""geocoordinates"", ""latitude"": ""47.72408"", ""longitude"": ""10.317734"" } }, ""image"": ""https://media.glassdoor.com/sqll/1419887/lehmann-personalmanagement-squarelogo-1499690464940.png"", ""description"": "" sie erhalten eine innerbetriebliche qualifizierung zum
  rangierbegleiter (m/w). dauer ca. 3 monate. nach bestandener prüfung bekommen sie eine unbefristete festanstellung.

  wir bieten:

  * direkte personalvermittlung zu unserem kunden

  ihre aufgaben:

  * sichern und abstellen von fahrzeugen und waggons

  * vorbereiten der in münchen ankommenden züge. dazu gehört u.a.das bilden und umbilden von waggons in kooperation mit dem triebfahrzeugführer

  * disposition der zugbildung in zusammenarbeit mit der leitstelle

  * kuppeln von lokomotiven

  * durchführen von bremsproben und sichtkontrollen

  * sicheres bedienen von luftbremsköpfen

  * sicheres bedienen und benutzen von funkgeräten zur verständigung im zugbetrieb

  * flexibel auf unregelmäßigkeiten im betriebsablauf reagieren

  ihr profil:

  * sie besitzen eine abgeschlossene ausbildung (quereinsteiger sind willkommen)

  * sie sind teamfähig, zuverlässig und besitzen ein hohes sicherheitsbewusstsein

  * sie bringen bereitschaft zur nacht- und wochenendarbeit mit

  * 3-schichtbetrieb

  * sie erreichen leicht den hauptbahnhof-münchen

  wir sind ein personaldienstleister mit filialen in münchen, rosenheim und wolfratshausen. unser familienbetrieb ist seit 10 jahren am markt und wir legen den schwerpunkt auf fachpersonal in den bereichen gastronomie, handel, handwerk, industrie, logistik und office.

  wir bieten unseren mitarbeitern eine übertarifliche und leistungsorientierte bezahlung und arbeiten mit dem igz-dgb tarifvertrag. unseren kunden können wir so qualifizierte und motivierte mitarbeiter zur verfügung stellen.

  wir freuen uns darauf sie persönlich kennenzulernen.

  wir bitten um verständnis, dass wir ihnen anfallende aufwendungen für ein vorstellungsgespräch nicht erstatten können.

  bitte senden sie uns ihre bewerbungsunterlagen per email zu oder bewerben sie sich direkt über unser bewerberformular auf www.lmpm.de.

  sollten sie nicht die möglichkeit zur elektronischen übermittlung ihrer bewerbung haben, senden sie uns per post bitte nur kopien und keine originale zu, da ihre unterlagen elektronisch erfasst und nicht zurückgesendet werden.

  - internetadresse: http://www.lmpm.de/lehmann-personalmanagement/; geforderte anlagen: lebenslauf, zeugnisse; führerscheine: fahrerlaubnis b pkw/kleinbusse (alt: fs 3): wünschenswert","['w', 'country', 'w', 'email']"
"  stellenbeschreibung

  * rangiertätigkeit auf dem betriebsgelände mit terberg-zugmaschine
  * torbestückung am umschlaglager in abstimmung mit dem yard-management
  * durchführung von kühlkontrollen
  * arbeitszeit: montag bis freitag, ca. 18 - 21/22 uhr

  voraussetzungen

  * gültiger führerschein klasse ce und gültige fahrerkarte
  * fundierte fahr- und rangiererfahrung mit sattelzugmaschine und auflieger
  * grundqualifikation gem. bkrfqg (berufskraftfahrer-qualifikations-gesetz)
  * von vorteil: abgeschlossene ausbildung zum berufskraftfahrer (m/w), erfahrung im umgang mit lebensmitteln
  * hohes maß an verantwortungsbewusstsein und teamfähigkeit

  bitte beziehen sie sich bei ihrer bewerbung auf jobs-im-allgäu.de

  mehr zum job

  anzeigenart       stellenangebot
  arbeitszeit       teilzeit
  vertragsart       festanstellung
  berufliche praxis    mit berufserfahrung
  aus- und weiterbildung sonstiges
  berufskategorie     berufskraftfahrer, logistik, lager / lkw-fahrer, busfahrer, kurierdienst, taxi
  arbeitsort       rudolf-diesel-str. 2, 87740 buxheim

  arbeitsort auf der karte",['w']
