%GT Count of First Domain,First Domain
12.63%,computer system
6.34%,computer network
5.67%,computer imaging and vision
5.55%,internet
5.50%,human computer interaction
4.74%,computer hardware
4.74%,hardware
4.12%,artificial intelligence
3.27%,computer security
3.27%,computer programming
2.75%,software engineering
2.59%,computer operating systems
2.59%,operating system
2.22%,signal processing
1.60%,information technology
1.57%,software
1.46%,robotics
1.38%,bioinformatics
1.33%,computer-aided design
1.31%,natural language
1.23%,medical informatics
1.22%,theoretical computer science
1.19%,elearning
1.13%,computer aided design
1.09%,data mining
1.07%,probability
1.03%,information retrieval
1.00%,correlation analysis
1.00%,regression analysis
1.00%,statistical analysis
1.00%,statistical model
1.00%,statistics
0.84%,automation
0.74%,matrix algebra
0.73%,information theory
0.58%,numerical analysis
0.55%,speech communication
0.54%,curriculum
0.53%,numerical method
0.50%,electricity
0.33%,semantic web applications
0.32%,finite element method
0.31%,sales
0.28%,wavelet transform
0.26%,semantic technology
0.26%,semantic web
0.26%,semantic web technology
0.25%,digital arithmetic
0.25%,boolean function
0.23%,commerce
0.23%,maximum likelihood estimation
0.22%,fault detection
0.22%,control theory
0.21%,ontology
0.21%,translation %28languages%29
0.21%,approximation theory
0.19%,optimization
0.18%,programming language
0.18%,investment
0.16%,computer-assisted language learning
0.15%,health expenditures
0.15%,social psychology
0.14%,telephone
0.14%,formal languages
0.14%,computer assisted language learning
0.13%,augmentative and alternative communication
0.11%,cloud service
0.09%,mathematical transformations
0.09%,knowledge representation
0.09%,secure communications
0.08%,social science
0.06%,social support
0.06%,social aspect
0.06%,social status
0.06%,type system
0.06%,vehicles
0.04%,functional languages
0.04%,object-oriented languages
0.04%,anonymous communication
0.04%,higher education institutions
0.03%,curve fitting
0.03%,data cube
0.03%,partial differential equation
0.03%,hardware description languages
0.02%,meta-programming
0.02%,educational technology
0.02%,medial axis
0.02%,dynamic languages
0.02%,semantic annotation
0.02%,discrete fourier transform
0.02%,least squares approximations
0.01%,communication robot
0.01%,cooperative communication
0.01%,deadlock-free routing
0.01%,human-robot communication
0.01%,hyperspectral image
0.01%,context aware applications
0.01%,laser communication
0.01%,machine to machines
0.01%,mathematical techniques
0.01%,numerical model
0.01%,numerical modeling
0.01%,communication protocol
0.01%,context-based
0.01%,document similarity
0.01%,economic and social effects
0.01%,economic development
0.01%,image semantics
0.01%,modeling language
0.01%,query rewriting
0.01%,semantic analysis
0.01%,semantic features
0.01%,semantic information
0.01%,semantic memory
0.01%,semantic relations
0.01%,semantic security
0.01%,societies%2C pharmaceutical
0.01%,conformal mapping
0.01%,engine
0.01%,models%2C economic
0.01%,optical wireless
0.01%,partitioned global address space
0.01%,risk communication
0.01%,teaching model
0.01%,underwater acoustic channels
0.01%,underwater acoustic communication
0.01%,aircraft communication
0.01%,collective communication
0.01%,communication bandwidth
0.01%,communication constraints
0.01%,communication cost
0.01%,communication delay
0.01%,communication network
0.01%,communication overhead
0.01%,covert communication
0.01%,digital communication
0.01%,dsrc
0.01%,free space optical communication
0.01%,geodetic satellites
0.01%,group communication
0.01%,ieee802.11
0.01%,intercluster communication
0.01%,language model adaptation
0.01%,multi hop communication
0.01%,new teaching
0.01%,on-body
0.01%,parallel application
0.01%,power-line communications
0.01%,scholarly communication
0.01%,session types
0.01%,space communications
0.01%,teaching process
0.01%,teaching quality
0.01%,vehicle to vehicle communications
0.01%,video communication
0.00%,amplifiers %28electronic%29
0.00%,degree distribution
0.00%,harmonic analysis
0.00%,object constraint language
0.00%,stochastic geometry
0.00%,academic achievement
0.00%,bistatic sar
0.00%,complex network
0.00%,correlation methods
0.00%,damage detection
0.00%,economic factors
0.00%,economic growth
0.00%,gaussian function
0.00%,geometric distortion
0.00%,geometric modeling
0.00%,geometric models
0.00%,higher-order functions
0.00%,language acquisition
0.00%,library
0.00%,modelling language
0.00%,multilingualism
0.00%,nonlinear modeling
0.00%,pointcut
0.00%,topology control
