Tool Name,Alternate Tool Names
Clean_(programming_language),"['clean programming language, concurrent clean, .abc (clean)', 'clean programming language, concurrent clean, .abc (clean)']"
Chapel_(programming_language),"['chapel programming language, cascade high productivity language', 'chapel programming language, cascade high productivity language', 'chapel programming language, cascade high productivity language', 'chapel programming language, cascade high productivity language', 'chapel programming language, cascade high productivity language']"
Kotlin_(programming_language),"['kotlinlang.org, kotlin syntax, .kt, kotlin programming language', 'kotlinlang.org, kotlin syntax, .kt, kotlin programming language']"
Crystal_(programming_language),"['crystal programming language, crystallang, crystal-lang', 'crystal programming language, crystallang, crystal-lang', 'crystal programming language, crystallang, crystal-lang', 'crystal programming language, crystallang, crystal-lang', 'crystal programming language, crystallang, crystal-lang']"
D_(programming_language),"['d language, stupid d compiler, d (language), dlang, digital mars d, digital mars d programming language, d programming language, d programming', 'd language, stupid d compiler, d (language), dlang, digital mars d, digital mars d programming language, d programming language, d programming']"
OCaml,"['ocaml, ocamlyacc, ocaml programming language, objective caml programming language, ocaml package manager, metaocaml, o%60caml, ocaml.org, ocaml (programming language), objective caml, objective caml (programming language), ocaml programming language, ocaml (programming language), ocaml', 'ocaml, ocamlyacc, ocaml programming language, objective caml programming language, ocaml package manager, metaocaml, o%60caml, ocaml.org, ocaml (programming language), objective caml, objective caml (programming language), ocaml programming language, ocaml (programming language), ocaml', 'ocaml, ocamlyacc, ocaml programming language, objective caml programming language, ocaml package manager, metaocaml, o%60caml, ocaml.org, ocaml (programming language), objective caml, objective caml (programming language), ocaml programming language, ocaml (programming language), ocaml', 'ocaml, ocamlyacc, ocaml programming language, objective caml programming language, ocaml package manager, metaocaml, o%60caml, ocaml.org, ocaml (programming language), objective caml, objective caml (programming language), ocaml programming language, ocaml (programming language), ocaml', 'ocaml, ocamlyacc, ocaml programming language, objective caml programming language, ocaml package manager, metaocaml, o%60caml, ocaml.org, ocaml (programming language), objective caml, objective caml (programming language), ocaml programming language, ocaml (programming language), ocaml', 'ocaml, ocamlyacc, ocaml programming language, objective caml programming language, ocaml package manager, metaocaml, o%60caml, ocaml.org, ocaml (programming language), objective caml, objective caml (programming language), ocaml programming language, ocaml (programming language), ocaml', 'ocaml, ocamlyacc, ocaml programming language, objective caml programming language, ocaml package manager, metaocaml, o%60caml, ocaml.org, ocaml (programming language), objective caml, objective caml (programming language), ocaml programming language, ocaml (programming language), ocaml']"
Opa_(programming_language),"[nan, nan]"
Julia_(programming_language),"['femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang', 'femtolisp, julia language, julialang.org, .jl, julia (language), julia programming language, julialang']"
F_Sharp_(programming_language),"['f pound programming language, f, fsharp, f sharp programming language, sequence expression, computation expressions, f sharp (programming language), f sharp language, microsoft f', 'f pound programming language, f, fsharp, f sharp programming language, sequence expression, computation expressions, f sharp (programming language), f sharp language, microsoft f']"
TypeScript,"['.tsx, typescriptlang.org, typescript syntax, microsoft typescript, typescript syntax and semantics', '.tsx, typescriptlang.org, typescript syntax, microsoft typescript, typescript syntax and semantics']"
Dart_(programming_language),"['dart programming language, dart language, ecma dart, dart (language), dartlang, google dart, google dash, dart editor, .dart, ecma-408, dart.dev', 'dart programming language, dart language, ecma dart, dart (language), dartlang, google dart, google dash, dart editor, .dart, ecma-408, dart.dev']"
Google_Docs,"['google document, history of google docs, google documents, google docs, google doc, docs.google.com, writely', 'google document, history of google docs, google documents, google docs, google doc, docs.google.com, writely', 'google document, history of google docs, google documents, google docs, google doc, docs.google.com, writely', 'google document, history of google docs, google documents, google docs, google doc, docs.google.com, writely']"
Similarity_score,"['similarity scores', 'similarity scores']"
Rnn_(software),[nan]
Internet_bot,"['webbot, bot accounts, malicious internet bots, hitbot, internet robot, web bot project, vandalbots, click bot, bot account, internet bot, snapeybot, www robot, web-bot, web robots, feed bot, internet bots, vandal bot, web-bot project, web robot, bot (internet), www robots, vandalbot, wiki bot, malbot', 'webbot, bot accounts, malicious internet bots, hitbot, internet robot, web bot project, vandalbots, click bot, bot account, internet bot, snapeybot, www robot, web-bot, web robots, feed bot, internet bots, vandal bot, web-bot project, web robot, bot (internet), www robots, vandalbot, wiki bot, malbot']"
