Category Translated,German Labels,Percentage
networked collaboration,Software: vernetzte Zusammenarbeit,34.72%
"Software: geographic information systems, processing of spatial data","Software: Geoinformationssysteme, Verarbeitung räumlicher Daten",20.83%
Software: computer-assisted work,Software: computerunterstütztes Arbeiten,20.14%
"Computers, IT equipment: servers, network technology","Computer, EDV-Geräte: Server, Netzwerktechnik",7.64%
Software: Developer Tools,Software: Entwicklerwerkzeuge,4.17%
Software: Accounting,Software: Rechnungswesen,3.47%
No Category,No Category,2.78%
"Computers, IT equipment: computers for controlling machines and systems","andere Geräte, Hilfsmittel: Scannerkassen, Computerkassen, Strichcode Lesegeräte",1.39%
"Other devices, tools: scanner cash registers, computer cash registers, barcode readers","Computer, EDV-Geräte: Computer für die Steuerung von Maschinen und Anlagen",1.39%
"Measuring devices, diagnostic devices: electronic measuring devices and tools","andere Geräte, Hilfsmittel: Gesetzestexte, Nachschlagewerke u. Ä",0.69%
"Other devices, aids: legal texts, reference works, etc","andere Geräte, Hilfsmittel: mechanische oder elektronische Registrierkassen",0.69%
"other devices, aids: mechanical or electronic cash registers","andere Geräte, Hilfsmittel: therapeutische Hilfsmittel, Sportgeräte, Spielzeug, Musikinstrument",0.69%
"other equipment, aids: therapeutic aids, sports equipment, toys, musical instrument","Messgeräte, Diagnosegeräte: elektronische Messgeräte und Hilfsmittel",0.69%
too general,zu allgemein,0.69%
