First Domain,%GT Count of First Domain
computer system,13.00%
computer network,7.50%
computer hardware,5.35%
hardware,5.35%
internet,4.95%
computer operating systems,4.88%
operating system,4.88%
human computer interaction,4.66%
computer programming,3.91%
computer security,3.75%
computer imaging and vision,3.74%
artificial intelligence,3.62%
software engineering,2.52%
signal processing,1.86%
software,1.70%
natural language,1.52%
information technology,1.46%
robotics,1.46%
data mining,1.42%
theoretical computer science,1.29%
computer-aided design,1.08%
bioinformatics,1.00%
probability,1.00%
medical informatics,0.96%
correlation analysis,0.93%
regression analysis,0.93%
statistical analysis,0.93%
statistical model,0.93%
statistics,0.93%
information retrieval,0.84%
computer aided design,0.78%
information theory,0.74%
elearning,0.73%
automation,0.72%
electricity,0.53%
curriculum,0.50%
maximum likelihood estimation,0.48%
speech communication,0.48%
boolean function,0.45%
approximation theory,0.37%
digital arithmetic,0.36%
programming language,0.36%
translation %28languages%29,0.36%
semantic web applications,0.33%
computer-assisted language learning,0.32%
computer assisted language learning,0.29%
semantic technology,0.29%
semantic web,0.28%
semantic web technology,0.28%
ontology,0.27%
matrix algebra,0.26%
finite element method,0.23%
numerical analysis,0.20%
knowledge representation,0.15%
wavelet transform,0.15%
formal languages,0.14%
numerical method,0.13%
mathematical transformations,0.11%
telephone,0.10%
sales,0.09%
fault detection,0.08%
type system,0.05%
anonymous communication,0.04%
hardware description languages,0.04%
optimization,0.04%
semantic annotation,0.04%
commerce,0.03%
context aware applications,0.03%
context-based,0.03%
control theory,0.03%
deadlock-free routing,0.03%
document similarity,0.03%
educational technology,0.03%
image semantics,0.03%
investment,0.03%
query rewriting,0.03%
semantic analysis,0.03%
semantic features,0.03%
semantic information,0.03%
semantic memory,0.03%
semantic relations,0.03%
semantic security,0.03%
vehicles,0.03%
curve fitting,0.02%
higher education institutions,0.02%
hyperspectral image,0.02%
hyperspectral images,0.02%
object constraint language,0.02%
partial differential,0.02%
partial differential equation,0.02%
secure communications,0.02%
social psychology,0.02%
amplifiers %28electronic%29,0.01%
conformal mapping,0.01%
cooperative communication,0.01%
discrete fourier transform,0.01%
dynamic languages,0.01%
higher-order functions,0.01%
least squares approximations,0.01%
machine to machines,0.01%
numerical model,0.01%
stochastic geometry,0.01%
