URL,Parent_URL,Domain 1,Domain 2
spinal cord toolbox,digital imaging,computer science,computer imaging and vision
spinal cord toolbox,digital imaging,computer science,computer system
spinal cord toolbox,digital imaging,computer science,bioinformatics
spinal cord toolbox,digital imaging,computer science,computer systems
spinal cord toolbox,digital imaging,computer science,medical informatics
facial recognition system,digital imaging,computer science,computer imaging and vision
facial recognition system,digital imaging,computer science,computer system
facial recognition system,digital imaging,computer science,bioinformatics
facial recognition system,digital imaging,computer science,computer systems
facial recognition system,digital imaging,computer science,medical informatics
photoplotter,digital imaging,computer science,computer imaging and vision
photoplotter,digital imaging,computer science,computer system
photoplotter,digital imaging,computer science,bioinformatics
photoplotter,digital imaging,computer science,computer systems
photoplotter,digital imaging,computer science,medical informatics
transmission control protocol,computer network,computer science,computer networks
transmission control protocol,computer network,computer science,computer communication networks
transmission control protocol,computer network,computer science,computer system
transmission control protocol,computer network,computer science,computer network
transmission control protocol,computer network,computer science,computer systems
ip multicast,computer network,computer science,computer networks
ip multicast,computer network,computer science,computer communication networks
ip multicast,computer network,computer science,computer system
ip multicast,computer network,computer science,computer network
ip multicast,computer network,computer science,computer systems
zrtp,computer network,computer science,computer networks
zrtp,computer network,computer science,computer communication networks
zrtp,computer network,computer science,computer system
zrtp,computer network,computer science,computer network
zrtp,computer network,computer science,computer systems
surveillance,computer network,computer science,computer networks
surveillance,computer network,computer science,computer communication networks
surveillance,computer network,computer science,computer system
surveillance,computer network,computer science,computer network
surveillance,computer network,computer science,computer systems
time-division multiplexing,computer network,computer science,computer networks
time-division multiplexing,computer network,computer science,computer communication networks
time-division multiplexing,computer network,computer science,computer system
time-division multiplexing,computer network,computer science,computer network
time-division multiplexing,computer network,computer science,computer systems
carrier sense multiple access with collision avoidance,computer network,computer science,computer networks
carrier sense multiple access with collision avoidance,computer network,computer science,computer communication networks
carrier sense multiple access with collision avoidance,computer network,computer science,computer system
carrier sense multiple access with collision avoidance,computer network,computer science,computer network
carrier sense multiple access with collision avoidance,computer network,computer science,computer systems
token ring,computer network,computer science,computer networks
token ring,computer network,computer science,computer communication networks
token ring,computer network,computer science,computer system
token ring,computer network,computer science,computer network
token ring,computer network,computer science,computer systems
packet switching,computer network,computer science,computer networks
packet switching,computer network,computer science,computer communication networks
packet switching,computer network,computer science,computer system
packet switching,computer network,computer science,computer network
packet switching,computer network,computer science,computer systems
xerox network systems,computer network,computer science,computer networks
xerox network systems,computer network,computer science,computer communication networks
xerox network systems,computer network,computer science,computer system
xerox network systems,computer network,computer science,computer network
xerox network systems,computer network,computer science,computer systems
data link,computer network,computer science,computer networks
data link,computer network,computer science,computer communication networks
data link,computer network,computer science,computer system
data link,computer network,computer science,computer network
data link,computer network,computer science,computer systems
networking hardware,computer network,computer science,computer networks
networking hardware,computer network,computer science,computer communication networks
networking hardware,computer network,computer science,computer system
networking hardware,computer network,computer science,computer network
networking hardware,computer network,computer science,computer systems
state diagram,computer network,computer science,computer networks
state diagram,computer network,computer science,computer communication networks
state diagram,computer network,computer science,computer system
state diagram,computer network,computer science,computer network
state diagram,computer network,computer science,computer systems
hierarchical routing,computer network,computer science,computer networks
hierarchical routing,computer network,computer science,computer communication networks
hierarchical routing,computer network,computer science,computer system
hierarchical routing,computer network,computer science,computer network
hierarchical routing,computer network,computer science,computer systems
dynamic host configuration protocol,computer network,computer science,computer networks
dynamic host configuration protocol,computer network,computer science,computer communication networks
dynamic host configuration protocol,computer network,computer science,computer system
dynamic host configuration protocol,computer network,computer science,computer network
dynamic host configuration protocol,computer network,computer science,computer systems
arcnet,computer network,computer science,computer networks
arcnet,computer network,computer science,computer communication networks
arcnet,computer network,computer science,computer system
arcnet,computer network,computer science,computer network
arcnet,computer network,computer science,computer systems
spanning tree protocol,computer network,computer science,computer networks
spanning tree protocol,computer network,computer science,computer communication networks
spanning tree protocol,computer network,computer science,computer system
spanning tree protocol,computer network,computer science,computer network
spanning tree protocol,computer network,computer science,computer systems
connectionless communication,computer network,computer science,computer networks
connectionless communication,computer network,computer science,computer communication networks
connectionless communication,computer network,computer science,computer system
connectionless communication,computer network,computer science,computer network
