Original URL,Link Type,Link Subtype,Links
https://cso.kmi.open.ac.uk/topics/sum_of_squares,other,related link,https://academic.microsoft.com/#/detail/54719702
https://cso.kmi.open.ac.uk/topics/signal_detection_theory,dbpedia,same as,http://dbpedia.org/resource/Detection_theory
https://cso.kmi.open.ac.uk/topics/signal_detection_theory,other,same as,http://www.wikidata.org/entity/Q120811
https://cso.kmi.open.ac.uk/topics/signal_detection_theory,other,same as,http://rdf.freebase.com/ns/m.04b_fy
https://cso.kmi.open.ac.uk/topics/signal_detection_theory,wikipedia,related link,http://en.wikipedia.org/wiki/Detection_theory
https://cso.kmi.open.ac.uk/topics/thulium,dbpedia,same as,http://dbpedia.org/resource/Thulium
https://cso.kmi.open.ac.uk/topics/thulium,other,same as,http://www.wikidata.org/entity/Q1853
https://cso.kmi.open.ac.uk/topics/thulium,other,same as,http://rdf.freebase.com/ns/m.025sk7j
https://cso.kmi.open.ac.uk/topics/thulium,other,related link,https://academic.microsoft.com/#/detail/500400820
https://cso.kmi.open.ac.uk/topics/thulium,wikipedia,related link,http://en.wikipedia.org/wiki/Thulium
https://cso.kmi.open.ac.uk/topics/remote_sensing_image_classification,dbpedia,same as,http://dbpedia.org/resource/Remote_sensing
https://cso.kmi.open.ac.uk/topics/remote_sensing_image_classification,other,same as,http://www.wikidata.org/entity/Q199687
https://cso.kmi.open.ac.uk/topics/remote_sensing_image_classification,other,same as,http://rdf.freebase.com/ns/m.01196mtl
https://cso.kmi.open.ac.uk/topics/remote_sensing_image_classification,other,same as,http://yago-knowledge.org/resource/Remote_sensing
https://cso.kmi.open.ac.uk/topics/remote_sensing_image_classification,wikipedia,related link,http://en.wikipedia.org/wiki/Remote_sensing
https://cso.kmi.open.ac.uk/topics/multilayer_perceptrons,dbpedia,same as,http://dbpedia.org/resource/Perceptron
https://cso.kmi.open.ac.uk/topics/multilayer_perceptrons,other,same as,http://www.wikidata.org/entity/Q690207
https://cso.kmi.open.ac.uk/topics/multilayer_perceptrons,other,same as,http://rdf.freebase.com/ns/m.01789g
https://cso.kmi.open.ac.uk/topics/multilayer_perceptrons,other,same as,http://yago-knowledge.org/resource/Perceptron
https://cso.kmi.open.ac.uk/topics/multilayer_perceptrons,wikipedia,related link,http://en.wikipedia.org/wiki/Perceptron
https://cso.kmi.open.ac.uk/topics/impulse_response_functions,dbpedia,same as,http://dbpedia.org/resource/Impulse_response
https://cso.kmi.open.ac.uk/topics/impulse_response_functions,other,same as,http://www.wikidata.org/entity/Q1139726
https://cso.kmi.open.ac.uk/topics/impulse_response_functions,other,same as,http://rdf.freebase.com/ns/m.02nnsc
https://cso.kmi.open.ac.uk/topics/impulse_response_functions,wikipedia,related link,http://en.wikipedia.org/wiki/Impulse_response
https://cso.kmi.open.ac.uk/topics/superscalar_processor,dbpedia,same as,http://dbpedia.org/resource/Superscalar_processor
https://cso.kmi.open.ac.uk/topics/superscalar_processor,other,same as,http://www.wikidata.org/entity/Q1045706
https://cso.kmi.open.ac.uk/topics/superscalar_processor,other,same as,http://rdf.freebase.com/ns/m.0dmkp
https://cso.kmi.open.ac.uk/topics/superscalar_processor,other,same as,http://yago-knowledge.org/resource/Superscalar
https://cso.kmi.open.ac.uk/topics/superscalar_processor,wikipedia,related link,http://en.wikipedia.org/wiki/Superscalar_processor
https://cso.kmi.open.ac.uk/topics/latent_variable,dbpedia,same as,http://dbpedia.org/resource/Latent_variable
https://cso.kmi.open.ac.uk/topics/latent_variable,other,same as,http://www.wikidata.org/entity/Q4422623
https://cso.kmi.open.ac.uk/topics/latent_variable,other,same as,http://rdf.freebase.com/ns/m.07v980
https://cso.kmi.open.ac.uk/topics/latent_variable,other,same as,http://yago-knowledge.org/resource/Latent_variable
https://cso.kmi.open.ac.uk/topics/latent_variable,other,related link,https://academic.microsoft.com/#/detail/65965080
https://cso.kmi.open.ac.uk/topics/latent_variable,wikipedia,related link,http://en.wikipedia.org/wiki/Latent_variable
https://cso.kmi.open.ac.uk/topics/problem-based_learning,dbpedia,same as,http://dbpedia.org/resource/Problem-based_learning
https://cso.kmi.open.ac.uk/topics/problem-based_learning,other,same as,http://www.wikidata.org/entity/Q1060990
https://cso.kmi.open.ac.uk/topics/problem-based_learning,other,same as,http://rdf.freebase.com/ns/m.01_l6w
https://cso.kmi.open.ac.uk/topics/problem-based_learning,other,same as,http://yago-knowledge.org/resource/Problem-based_learning
https://cso.kmi.open.ac.uk/topics/problem-based_learning,wikipedia,related link,http://en.wikipedia.org/wiki/Problem-based_learning
https://cso.kmi.open.ac.uk/topics/storage_virtualization,dbpedia,same as,http://dbpedia.org/resource/Storage_virtualization
https://cso.kmi.open.ac.uk/topics/storage_virtualization,other,same as,http://www.wikidata.org/entity/Q2308665
https://cso.kmi.open.ac.uk/topics/storage_virtualization,other,same as,http://rdf.freebase.com/ns/m.0blqgq
https://cso.kmi.open.ac.uk/topics/storage_virtualization,other,same as,http://yago-knowledge.org/resource/Storage_virtualization
https://cso.kmi.open.ac.uk/topics/storage_virtualization,other,related link,https://academic.microsoft.com/#/detail/34760210
https://cso.kmi.open.ac.uk/topics/storage_virtualization,wikipedia,related link,http://en.wikipedia.org/wiki/Storage_virtualization
https://cso.kmi.open.ac.uk/topics/scalar_quantization,dbpedia,same as,http://dbpedia.org/resource/Quantization_(signal_processing)
https://cso.kmi.open.ac.uk/topics/scalar_quantization,other,same as,http://www.wikidata.org/entity/Q198099
https://cso.kmi.open.ac.uk/topics/scalar_quantization,other,same as,http://rdf.freebase.com/ns/m.01tznl
https://cso.kmi.open.ac.uk/topics/scalar_quantization,other,same as,http://yago-knowledge.org/resource/Quantization_(signal_processing)
https://cso.kmi.open.ac.uk/topics/scalar_quantization,other,related link,https://academic.microsoft.com/#/detail/2778418480
https://cso.kmi.open.ac.uk/topics/scalar_quantization,wikipedia,related link,http://en.wikipedia.org/wiki/Quantization_(signal_processing)
https://cso.kmi.open.ac.uk/topics/dominance%2C_ocular,dbpedia,same as,http://dbpedia.org/resource/Ocular_dominance
https://cso.kmi.open.ac.uk/topics/dominance%2C_ocular,other,same as,http://www.wikidata.org/entity/Q760286
https://cso.kmi.open.ac.uk/topics/dominance%2C_ocular,other,same as,http://rdf.freebase.com/ns/m.04yry1
https://cso.kmi.open.ac.uk/topics/dominance%2C_ocular,wikipedia,related link,http://en.wikipedia.org/wiki/Ocular_dominance
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,dbpedia,same as,http://dbpedia.org/resource/IEEE_802.11
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,other,same as,http://www.wikidata.org/entity/Q193228
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,other,same as,http://rdf.freebase.com/ns/m.03t5p
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,other,same as,http://yago-knowledge.org/resource/IEEE_802.11
https://cso.kmi.open.ac.uk/topics/ieee_802.11_wireless_lan,wikipedia,related link,http://en.wikipedia.org/wiki/IEEE_802.11
https://cso.kmi.open.ac.uk/topics/cpm,other,related link,https://academic.microsoft.com/#/detail/45178570
https://cso.kmi.open.ac.uk/topics/speech_translation,other,related link,https://academic.microsoft.com/#/detail/2780366754
