% distribution of 'Domain 2',,,,,
,,,,,
,Domain 2,Count of Domain 2,,,
,computer system,8.97%,,,
,computer systems,8.97%,,,
,computer networks,5.17%,,,"has synonyms , need to filter :"
,computer communication networks,5.17%,,,
,computer network,5.17%,,,
,computer hardware,3.69%,,,
,hardware,3.69%,,,
,internet,3.41%,,,
,operating systems,3.37%,,,
,operating system,3.37%,,,
,computer operating systems,3.37%,,,
,human computer interaction,3.22%,,,
,human-computer interaction,3.22%,,,
,computer programming,2.70%,,,
,computer security,2.59%,,,
,computer imaging and vision,2.58%,,,
,artificial intelligence,2.50%,,,
,software engineering,1.74%,,,
,signal processing,1.28%,,,
,software,1.17%,,,
,natural language,1.05%,,,
,natural languages,1.05%,,,
,robotics,1.00%,,,
,information technology,1.00%,,,
,data mining,0.98%,,,
,theoretical computer science,0.89%,,,
,computer-aided design,0.74%,,,
,bioinformatics,0.69%,,,
,probability,0.69%,,,
,medical informatics,0.66%,,,
,statistics,0.64%,,,
,regression analysis,0.64%,,,
,correlation analysis,0.64%,,,
,statistical analysis,0.64%,,,
,statistical model,0.64%,,,
,information retrieval,0.58%,,,
,cad,0.54%,,,
,computer aided design %28cad%29,0.54%,,,
,computer aided design,0.54%,,,
,information theory,0.51%,,,
,e - learnings,0.50%,,,
,elearning,0.50%,,,
,e-learning,0.50%,,,
,automation,0.49%,,,
,electricity,0.37%,,,
,curriculum,0.34%,,,
,curricula,0.34%,,,
,speech communication,0.33%,,,
,maximum likelihood estimation,0.33%,,,
,boolean functions,0.31%,,,
,boolean function,0.31%,,,
,approximation theory,0.25%,,,
,programming language,0.25%,,,
,digital arithmetic,0.25%,,,
,programming languages,0.25%,,,
,translation %28languages%29,0.25%,,,
,semantic web applications,0.22%,,,
,computer-assisted language learning,0.22%,,,
,semantic technology,0.20%,,,
,computer assisted language learning,0.20%,,,
,semantic web,0.19%,,,
,semantic technologies,0.19%,,,
,semantic web technologies,0.19%,,,
,semantic web technology,0.19%,,,
,ontologies,0.19%,,,
,ontology,0.19%,,,
,matrix algebra,0.18%,,,
,finite element method,0.16%,,,
,numerical analysis,0.13%,,,
,knowledge representation,0.10%,,,
,wavelet transforms,0.10%,,,
,wavelet transform,0.10%,,,
,formal languages,0.10%,,,
,numerical method,0.09%,,,
,numerical methods,0.09%,,,
,mathematical transformations,0.07%,,,
,telephone,0.07%,,,
,telephony,0.07%,,,
,sales,0.06%,,,
,fault detection,0.05%,,,
,type systems,0.04%,,,
,type system,0.04%,,,
,semantic annotation,0.03%,,,
,hardware description languages,0.03%,,,
,semantic annotations,0.03%,,,
,anonymous communication,0.03%,,,
,optimization,0.03%,,,
,semantic security,0.02%,,,
,semantic memory,0.02%,,,
,semantic features,0.02%,,,
,vehicles,0.02%,,,
,semantic relationships,0.02%,,,
,semantic analysis,0.02%,,,
,query rewritings,0.02%,,,
,control theory,0.02%,,,
,semantic information,0.02%,,,
,commerce,0.02%,,,
,semantic relations,0.02%,,,
,context aware applications,0.02%,,,
,context-aware applications,0.02%,,,
,educational technology,0.02%,,,
,deadlock-free routing,0.02%,,,
,image semantics,0.02%,,,
,document similarity,0.02%,,,
,query rewriting,0.02%,,,
,context-based,0.02%,,,
,investment,0.02%,,,
,investments,0.02%,,,
,higher education institutions,0.01%,,,
,hyperspectral images,0.01%,,,
,hyperspectral imagery,0.01%,,,
,object constraint language,0.01%,,,
,partial differential equations,0.01%,,,
,curve fitting,0.01%,,,
,hyperspectral image,0.01%,,,
,partial differential,0.01%,,,
,secure communications,0.01%,,,
,partial differential equation,0.01%,,,
,hyper-spectral images,0.01%,,,
,social psychology,0.01%,,,
,partial differential equations %28pde%29,0.01%,,,
,discrete fourier transforms,0.01%,,,
,numerical models,0.01%,,,
,cooperative communication,0.01%,,,
,numerical model,0.01%,,,
,numerical modelling,0.01%,,,
,conformal mapping,0.01%,,,
,discrete fourier transform,0.01%,,,
,least squares approximations,0.01%,,,
,amplifiers %28electronic%29,0.01%,,,
,machine to machines,0.01%,,,
,numerical modeling,0.01%,,,
,higher-order functions,0.01%,,,
,discrete fourier transform %28dft%29,0.01%,,,
,stochastic geometry,0.01%,,,
,dynamic languages,0.01%,,,
,cooperative communications,0.01%,,,
,Grand Total,100.00%,,,
