pandas_id,SX_CATEG,SX_CATEG_LABEL,SX_TERM_ID,SX_TERM,SX_CLASS_ID,SX_CLASS_NR,SX_CLASS_LABEL,SX_SORT
0,1.0,Arbeitsmittel,324.0,elektrohobel,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
1,1.0,Arbeitsmittel,325.0,elektrokleingerät,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
2,1.0,Arbeitsmittel,326.0,elektrokleinwerkzeug,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
3,1.0,Arbeitsmittel,327.0,elektronikgerät,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
4,1.0,Arbeitsmittel,328.0,elektroschaber,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
5,1.0,Arbeitsmittel,329.0,entstauber,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
6,1.0,Arbeitsmittel,330.0,etracker,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
7,1.0,Arbeitsmittel,331.0,fernsehapparat,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
8,1.0,Arbeitsmittel,332.0,film-/digitalkamera,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
9,1.0,Arbeitsmittel,333.0,föhn,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
10,1.0,Arbeitsmittel,334.0,fön,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
11,1.0,Arbeitsmittel,335.0,frenquenzumformer,24.0,2.4,Anlagen zur Energieerzeugung und -umwandlung ,>002004000000000000000000000
12,1.0,Arbeitsmittel,336.0,frequenz-umrichter,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
13,1.0,Arbeitsmittel,337.0,friteuse,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
14,1.0,Arbeitsmittel,338.0,fritteuse,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
15,1.0,Arbeitsmittel,339.0,frittierstation,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
16,1.0,Arbeitsmittel,340.0,fußpflegegerät,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
17,1.0,Arbeitsmittel,341.0,gas-rost-grill,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
18,1.0,Arbeitsmittel,342.0,glätteisen,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
19,1.0,Arbeitsmittel,343.0,grossküchengerät,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
20,1.0,Arbeitsmittel,344.0,großküchengerät,18.0,1.3,elektrische Geräte ,>001003000000000000000000000
