Parent_Url,Extracted_Tools
3D_modeling,"['Google_Arts_&_Culture', 'C3D_Toolkit', 'Modo_(software)', 'PhotoScan', 'Poser_(software)', '3DF_Zephyr', 'Realsoft_3D', 'Photosynth', 'RealityCapture', 'Google_Street_View', 'CATIA', 'FaceGen', 'Blender_(software)', 'Paint_3D', 'TrueSpace', 'GigaMesh_Software_Framework', 'POV-Ray', '3D_Wayfinder', 'MeshLab', 'Semantic_Web', 'Cinema_4D', 'SketchUp', 'Microsoft_3D_Viewer']"
3D_printing,"['AstroPrint', 'STL_(file_format)', 'Markforged', 'Objet_Geometries', 'Marlin_(firmware)', 'Desktop_Metal', 'OctoPrint', 'Slic3r', '3D_Manufacturing_Format', 'Repetier-Host', 'Cura_(software)']"
ACT-R,['GNU_Lesser_General_Public_License']
AUTOSAR,"['MATLAB', 'Automotive_Grade_Linux', 'Single_UNIX_Specification', 'Rational_Rhapsody', 'POSIX']"
Accelerometer,"['Symbian', 'Berkeley_Open_Infrastructure_for_Network_Computing', 'MotorStorm_(video_game)', 'Burnout_Paradise']"
Ada_(programming_language),"['D_(programming_language)', 'GNAT', 'SQL/PSM', 'Free_software', 'SETL', 'GNU_Compiler_Collection', 'Cross-platform', 'Chapel_(programming_language)', 'GNAT_Programming_Studio', 'POSIX']"
Adaptive_learning,"['Educational_software', 'Learning_management_system']"
Advanced_Audio_Coding,"['Music_(software)', 'WebOS', 'Palm_OS', 'Songbird_(software)', 'QuickTime', 'BlackBerry_OS', 'Ffdshow', 'Libavcodec', '3ivx', 'Android_(operating_system)', '3GP_and_3G2', 'Open-source_software', 'MPlayer', 'Windows_7', 'AIMP', 'Xine', 'Adobe_Flash_Player', 'VLC_media_player', 'Chromecast', 'MPEG-4_Part_14', 'Linux', 'Mac_OS_X', 'XMMS', 'Fraunhofer_FDK_AAC', 'Vorbis', 'Windows_Mobile', 'Microsoft_Windows', 'Winamp', 'Windows_Phone', 'SHOUTcast', 'MediaCoder', 'BlackBerry', 'DirectShow', 'Zune', 'BlackBerry_10', 'RealPlayer', 'Mp3tag', 'Nero_AAC_Codec', 'Audio_Lossless_Coding', 'DivX', 'Foobar2000', 'Rockbox', 'WAV', 'Free_software', 'Media_Player_Classic', 'FFmpeg', 'Freeware', 'MusicBee', 'Nook_Color', 'KMPlayer', 'Libav', 'Series_40', 'FAAC', 'MediaMonkey', 'Digital_Video_Broadcasting', 'Windows_Media_Player', 'Apple_Lossless_Audio_Codec']"
Advanced_Encryption_Standard,"['CrypTool', 'OpenSSL']"
Agent-based_model,"['Internet_bot', 'MASON_(Java)']"
Agile_software_development,"['Scrum_(software_development)', 'PTC_Integrity', 'Dynamic_systems_development_method']"
Aircraft_carrier,['HAL_Tejas']
Aircraft_engine,"['V8_engine', 'Turbomeca_Artouste', 'Mercedes_D.IVa', 'Rolls-Royce_Conway', 'Rolls-Royce_RB.50_Trent', 'Gnome_Omega', 'Rolls-Royce_Merlin', 'Armstrong_Siddeley_Jaguar']"
Algorithm,['ProBiS']
Ambient_occlusion,"['CryEngine', 'Unreal_Engine']"
Analytic_hierarchy_process,['SAP_ERP']
Android_(operating_system),"['OpenJDK', 'Android_version_history', 'QWERTY', 'Android_Froyo', 'EMUI', 'Android-x86', 'Dalvik_(software)', 'Free_and_open-source_software', 'Replicant_(operating_system)', 'Android_TV', 'Android_11', 'Google_Assistant', 'Freeware', 'IntelliJ_IDEA', 'Unix-like', 'Apache_Harmony', 'Android_SDK', 'BlackBerry_OS', 'Barnes_&_Noble_Nook', 'Web_app', 'Samsung_Galaxy_Store', 'Toybox', 'F-Droid', 'Apache_Cordova', 'Windows_11', 'HP_TouchPad', 'Microsoft_Office_Mobile', 'Linux', 'Shield_Portable', 'Android_Jelly_Bean', 'IOS', 'Google_Latitude', 'BlackBerry', 'Samsung_Galaxy_S4', 'Antivirus_software', 'Wind-up_Knight', 'Android_Studio', 'CyanogenMod', 'Nexus_10', 'Android_Automotive', 'Android_Runtime', 'Google_Chrome', 'Android_NDK', 'Kotlin_(programming_language)', 'UClibc', 'Pre-installed_software', 'Android_software_development', 'TouchWiz', 'HTC_Sense', 'Linux_kernel', 'BlueStacks__Android_Gaming_platform__1', 'Integrated_development_environment', 'Fork_(software_development)', 'Nexus_9', 'ColorOS', 'Nexus_7_(2012)', 'Android_Lollipop', 'GNU_C_Library', 'Google_App_Runtime_for_Chrome', 'Bionic_(software)', 'Android_rooting', 'Windows_Mobile', 'Microsoft_Windows', 'Android_Ice_Cream_Sandwich', 'Statistica', 'QEMU', 'Fire_OS', 'Android_Marshmallow', 'Amazon_Appstore', 'Motorola_Xoom', 'GetJar', 'Google_Nexus', 'Eclipse_(software)', 'Android_12', 'Symbian', 'Android_application_package', 'StatCounter', 'Android_KitKat', 'Graphical_user_interface', 'Android_Nougat', 'Vulkan_(API)', 'Android_10', 'Windows_10', 'Android_Things', 'Android_Pie', 'Android_Gingerbread', 'Open-source_software', 'Windows', 'Huawei_AppGallery', 'Proprietary_software', 'Android_Oreo', 'LineageOS', 'Theme_(computing)', 'Pegasus_(spyware)', 'Android_4.4', 'GNU', 'ChromeOS', 'GNU_GPL', 'BlueStacks', 'Windows_Phone', 'Multi-touch', 'Command-line_interface', 'Android_Auto', 'Aptoide', 'Samsung_Experience', 'Apache_License', 'KornShell', 'Google_Play_Services', 'Android_13', 'OS_X', 'Skype', 'Java_Native_Interface', 'MicroG', 'BSD', 'Sophos']"
