subject,relation,object
computer_science,cso#superTopicOf,artificial_intelligence
automated_pattern_recognition,cso#superTopicOf,subtraction_technique
dimensionality_reduction,cso#superTopicOf,fisher_discriminant_analysis
dimensionality_reduction,cso#superTopicOf,small_sample_size_problems
dimensionality_reduction,cso#superTopicOf,small_sample_size_problem
artificial_intelligence,cso#superTopicOf,decision_theory
decision_theory,cso#superTopicOf,intelligent_decision_support_systems
decision_tables,cso#superTopicOf,rough_set_models
decision_table,cso#superTopicOf,rough_set_models
decision_rules,cso#superTopicOf,rough_set_models
decision_rule,cso#superTopicOf,rough_set_models
decision_theory,cso#superTopicOf,group_decision-making
decision_theory,cso#superTopicOf,decision_models
decision_models,cso#superTopicOf,decision_modeling
decision_theory,cso#superTopicOf,decision_model
decision_model,cso#superTopicOf,decision_modeling
computability_and_decidability,cso#superTopicOf,model_checking_problem
model_checking_problem,cso#superTopicOf,model_checking_algorithm
model_checking_problem,cso#superTopicOf,model_checking_tools
satisfiability,cso#superTopicOf,satisfiability_modulo_theories
timed_automata,cso#superTopicOf,uppaal
timed_automata,cso#superTopicOf,timed_systems
tree_automata,cso#superTopicOf,tree_languages
tree_automata,cso#superTopicOf,regular_tree_languages
separation_logic,cso#superTopicOf,imperative_programs
separation_logic,cso#superTopicOf,hoare_logic
datalog,cso#superTopicOf,datalog_programs
modal_logic,cso#superTopicOf,epistemic_logic
modal_logic,cso#superTopicOf,kripke_model
coalgebra,cso#superTopicOf,coinduction
coalgebras,cso#superTopicOf,coinduction
coalgebraic,cso#superTopicOf,coinduction
modal_logics,cso#superTopicOf,epistemic_logic
modal_logics,cso#superTopicOf,kripke_model
description_logic,cso#superTopicOf,fuzzy_description_logic
fuzzy_description_logic,cso#superTopicOf,fuzzy_extension
description_logic,cso#superTopicOf,concept_description
description_logics,cso#superTopicOf,fuzzy_description_logic
description_logics,cso#superTopicOf,concept_description
decision-tree_algorithm,cso#superTopicOf,c4.5_algorithm
decision_trees,cso#superTopicOf,naive_bayes
decision_trees,cso#superTopicOf,decision_tree_models
decision_trees,cso#superTopicOf,decision_tree_learning
decision_trees,cso#superTopicOf,ensemble_classifiers
ensemble_classifiers,cso#superTopicOf,ensemble_classification
decision_trees,cso#superTopicOf,random_forests
random_forests,cso#superTopicOf,random_forest_classifier
random_forests,cso#superTopicOf,random_forest_algorithm
decision_trees,cso#superTopicOf,random_forest
random_forest,cso#superTopicOf,random_forest_classifier
random_forest,cso#superTopicOf,random_forest_algorithm
genetic_fuzzy_systems,cso#superTopicOf,genetic-fuzzy
synthesized_speech,cso#superTopicOf,speech_synthesis_system
data_stream,cso#superTopicOf,continuous_queries
continuous_queries,cso#superTopicOf,data_stream_management_systems
data_stream,cso#superTopicOf,continuous_query
continuous_query,cso#superTopicOf,data_stream_management_systems
data_stream,cso#superTopicOf,sliding_windows
data_stream,cso#superTopicOf,data_stream_mining
data_stream,cso#superTopicOf,stream_data
data_stream,cso#superTopicOf,data_stream_processing
data_stream,cso#superTopicOf,stream_mining
data_stream,cso#superTopicOf,multiple_data_streams
data_stream,cso#superTopicOf,concept_drifts
data_stream,cso#superTopicOf,concept_drift
data_streams,cso#superTopicOf,continuous_queries
data_streams,cso#superTopicOf,continuous_query
data_streams,cso#superTopicOf,sliding_windows
data_streams,cso#superTopicOf,data_stream_mining
data_streams,cso#superTopicOf,stream_data
data_streams,cso#superTopicOf,data_stream_processing
data_streams,cso#superTopicOf,stream_mining
data_streams,cso#superTopicOf,multiple_data_streams
data_streams,cso#superTopicOf,concept_drifts
data_streams,cso#superTopicOf,concept_drift
ensemble_learning,cso#superTopicOf,ensemble_techniques
ensemble_learning,cso#superTopicOf,base_learners
ensemble_learning,cso#superTopicOf,random_subspaces
ensemble_learning,cso#superTopicOf,ensemble_models
ensemble_learning,cso#superTopicOf,ensemble_algorithms
ensemble_learning,cso#superTopicOf,ensemble_classification
ensemble_methods,cso#superTopicOf,ensemble_models
decision_tree,cso#superTopicOf,naive_bayes
decision_tree,cso#superTopicOf,decision_tree_models
decision_tree,cso#superTopicOf,decision_tree_learning
decision_tree,cso#superTopicOf,ensemble_classifiers
decision_tree,cso#superTopicOf,random_forests
decision_tree,cso#superTopicOf,random_forest
dempster-shafer_theory,cso#superTopicOf,transferable_belief_model
dempster-shafer_theory,cso#superTopicOf,basic_probability_assignment
fuzzy_analytic_hierarchy_process,cso#superTopicOf,fahp
grey_system_theory,cso#superTopicOf,grey_prediction_model
gm_%281_%2C_1%29_model,cso#superTopicOf,background_value
grey_prediction,cso#superTopicOf,grey_prediction_model
evaluation_models,cso#superTopicOf,evaluation_modeling
evaluation_models,cso#superTopicOf,comprehensive_evaluation_model
evaluation_model,cso#superTopicOf,evaluation_modeling
evaluation_model,cso#superTopicOf,comprehensive_evaluation_model
artificial_intelligence,cso#superTopicOf,intelligent_control
intelligent_control,cso#superTopicOf,control_and_automation
intelligent_control,cso#superTopicOf,systems_design
industrial_automation,cso#superTopicOf,industrial_automation_system
passively_mode-locked,cso#superTopicOf,passive_mode_locking
ultrashort_pulses,cso#superTopicOf,femto-second_laser
femto-second_laser,cso#superTopicOf,transparent_material
mode-locked_fiber_lasers,cso#superTopicOf,mode-locked
mode-locked,cso#superTopicOf,passively_mode-locked
mode-locked_fiber_lasers,cso#superTopicOf,saturable_absorbers
mode-locked_fiber_lasers,cso#superTopicOf,mode-locking
mode-locked_fiber_lasers,cso#superTopicOf,mode-locked_laser
mode-locked_fiber_lasers,cso#superTopicOf,mode-locked_lasers
repetition_rate,cso#superTopicOf,diode-pumped
q_switching,cso#superTopicOf,diode-pumped
laser_damage,cso#superTopicOf,laser_induced_damage_thresholds
laser_damage,cso#superTopicOf,laser_induced
takagi-sugeno,cso#superTopicOf,takagi-sugeno_models
takagi-sugeno_models,cso#superTopicOf,t_s_models
networked_control_systems_%28ncss%29,cso#superTopicOf,data_packet_dropout
networked_control_systems_%28ncss%29,cso#superTopicOf,communication_constraints
fault_tolerant_control,cso#superTopicOf,actuator_failures
actuator_failures,cso#superTopicOf,fault_tolerant_controllers
fault_tolerant_control,cso#superTopicOf,fault_tolerant_control_systems
fault-tolerant_control,cso#superTopicOf,actuator_failures
fault-tolerant_control,cso#superTopicOf,fault_tolerant_control_systems
delay-dependent,cso#superTopicOf,markovian_jumping_parameters
delay-dependent,cso#superTopicOf,markovian_jumps
hyper-chaotic_systems,cso#superTopicOf,hyperchaotic
lyapunov_methods,cso#superTopicOf,largest_lyapunov_exponent
lyapunov_exponent,cso#superTopicOf,lyapunov_methods
lyapunov_exponent,cso#superTopicOf,lyapunov_method
lyapunov_method,cso#superTopicOf,largest_lyapunov_exponent
lyapunov_exponents,cso#superTopicOf,lyapunov_methods
lyapunov_exponents,cso#superTopicOf,lyapunov_method
global_exponential_stability,cso#superTopicOf,bam_neural_network
global_exponential_stability,cso#superTopicOf,cohen-grossberg_neural_networks
global_exponential_stability,cso#superTopicOf,m-matrix
networked_control_systems,cso#superTopicOf,data_packet_dropout
networked_control_systems,cso#superTopicOf,communication_constraints
networked_control_system,cso#superTopicOf,data_packet_dropout
networked_control_system,cso#superTopicOf,communication_constraints
management_science,cso#superTopicOf,business_rules
business_rules,cso#superTopicOf,rule_engine
business_intelligence,cso#superTopicOf,business_intelligence_systems
business_intelligence,cso#superTopicOf,business_decisions
artificial_intelligence,cso#superTopicOf,natural_language_processing_systems
natural_language_processing_systems,cso#superTopicOf,text_processing
text_processing,cso#superTopicOf,word_processing
word_processing,cso#superTopicOf,electronic_document
electronic_document,cso#superTopicOf,style_sheets
word_processing,cso#superTopicOf,electronic_documents
word_sense_disambiguation,cso#superTopicOf,word_sense
text_processing,cso#superTopicOf,text_mining
text_mining,cso#superTopicOf,text_mining_techniques
text_mining,cso#superTopicOf,text_document
text_mining,cso#superTopicOf,textual_data
biomedical_literature,cso#superTopicOf,biomedical_text
text_mining,cso#superTopicOf,text_data
text_mining,cso#superTopicOf,text_representation
opinion_mining,cso#superTopicOf,product_reviews
opinion_mining,cso#superTopicOf,sentiment_classification
opinion_mining,cso#superTopicOf,semantic_orientation
opinion_mining,cso#superTopicOf,polarity_classification
text_processing,cso#superTopicOf,text_summarization
text_summarization,cso#superTopicOf,automatic_text_summarization
text_summarization,cso#superTopicOf,automatic_summarization
text_summarization,cso#superTopicOf,sentence_extraction
text_processing,cso#superTopicOf,document_classification
text_processing,cso#superTopicOf,text_classification
text_classification,cso#superTopicOf,text_classifiers
text_classification,cso#superTopicOf,reuters-21578
text_classification,cso#superTopicOf,term_weighting
text_classification,cso#superTopicOf,text_representation
text_classification,cso#superTopicOf,text_classification_methods
text_classification,cso#superTopicOf,document_categorization
text_classification,cso#superTopicOf,document_frequency
text_classification,cso#superTopicOf,text_feature
text_classification,cso#superTopicOf,training_documents
text_processing,cso#superTopicOf,text_categorization
text_categorization,cso#superTopicOf,text_classifiers
text_categorization,cso#superTopicOf,reuters-21578
text_categorization,cso#superTopicOf,term_weighting
text_categorization,cso#superTopicOf,text_representation
text_categorization,cso#superTopicOf,text_classification_methods
text_categorization,cso#superTopicOf,document_categorization
text_categorization,cso#superTopicOf,document_frequency
text_categorization,cso#superTopicOf,text_feature
text_categorization,cso#superTopicOf,training_documents
sentiment_analysis,cso#superTopicOf,opinion_mining
computer_aided_language_translation,cso#superTopicOf,translation_models
translation_models,cso#superTopicOf,smt_systems
translation_models,cso#superTopicOf,phrase-based_statistical_machine_translation
translation_models,cso#superTopicOf,statistical_machine_translation_system
translation_quality,cso#superTopicOf,phrase-based_statistical_machine_translation
translation_quality,cso#superTopicOf,statistical_machine_translation_system
statistical_machine_translation,cso#superTopicOf,parallel_corpora
parallel_corpora,cso#superTopicOf,bilingual_corpora
statistical_machine_translation,cso#superTopicOf,word_alignment
statistical_machine_translation,cso#superTopicOf,language_pairs
statistical_machine_translation,cso#superTopicOf,translation_systems
statistical_machine_translation,cso#superTopicOf,translation_models
statistical_machine_translation,cso#superTopicOf,translation_quality
target_language,cso#superTopicOf,source_language
natural_language_processing_systems,cso#superTopicOf,information_extraction
information_extraction,cso#superTopicOf,relation_extraction
natural_language_processing_systems,cso#superTopicOf,speech_transmission
speech_transmission,cso#superTopicOf,statistical_machine_translation
large_vocabulary_continuous_speech_recognition,cso#superTopicOf,lvcsr
machine_translation_systems,cso#superTopicOf,translation_models
machine_translation_systems,cso#superTopicOf,translation_quality
machine_translation_systems,cso#superTopicOf,parallel_corpora
machine_translation_systems,cso#superTopicOf,target_language
machine_translation_systems,cso#superTopicOf,translation_systems
machine_translation_systems,cso#superTopicOf,language_pairs
machine_translation_systems,cso#superTopicOf,automatic_evaluation
machine_translation_systems,cso#superTopicOf,translation_process
machine_translation_systems,cso#superTopicOf,automatic_translation
machine_translation_systems,cso#superTopicOf,bilingual_dictionary
machine_translation_systems,cso#superTopicOf,human_evaluation
machine_translation_systems,cso#superTopicOf,speech-to-speech_translation
machine_translation_systems,cso#superTopicOf,parallel_text
machine_translation_systems,cso#superTopicOf,english_sentences
machine_translations,cso#superTopicOf,translation_models
machine_translations,cso#superTopicOf,translation_quality
machine_translations,cso#superTopicOf,parallel_corpora
machine_translations,cso#superTopicOf,target_language
machine_translations,cso#superTopicOf,translation_systems
machine_translations,cso#superTopicOf,language_pairs
machine_translations,cso#superTopicOf,automatic_evaluation
machine_translations,cso#superTopicOf,translation_process
machine_translations,cso#superTopicOf,automatic_translation
machine_translations,cso#superTopicOf,bilingual_dictionary
machine_translations,cso#superTopicOf,human_evaluation
machine_translations,cso#superTopicOf,speech-to-speech_translation
machine_translations,cso#superTopicOf,parallel_text
machine_translations,cso#superTopicOf,english_sentences
machine_translation,cso#superTopicOf,translation_models
machine_translation,cso#superTopicOf,translation_quality
machine_translation,cso#superTopicOf,parallel_corpora
machine_translation,cso#superTopicOf,target_language
machine_translation,cso#superTopicOf,translation_systems
machine_translation,cso#superTopicOf,language_pairs
machine_translation,cso#superTopicOf,automatic_evaluation
machine_translation,cso#superTopicOf,translation_process
machine_translation,cso#superTopicOf,automatic_translation
machine_translation,cso#superTopicOf,bilingual_dictionary
machine_translation,cso#superTopicOf,human_evaluation
machine_translation,cso#superTopicOf,speech-to-speech_translation
machine_translation,cso#superTopicOf,parallel_text
machine_translation,cso#superTopicOf,english_sentences
natural_language_processing_systems,cso#superTopicOf,sentiment_analysis
natural_language_processing_systems,cso#superTopicOf,computational_grammars
natural_language_processing_systems,cso#superTopicOf,natural_language_generation
unified_medical_language_system,cso#superTopicOf,umls
unified_medical_language_systems,cso#superTopicOf,umls
natural_language_processing,cso#superTopicOf,abstracting_and_indexing
natural_language_processing,cso#superTopicOf,parse_trees
natural_language_processing,cso#superTopicOf,part_of_speech
natural_language_processing,cso#superTopicOf,part_of_speech_tagging
natural_language_processing,cso#superTopicOf,part-of-speech_tagging
natural_language_processing,cso#superTopicOf,natural_language_text
natural_language_processing,cso#superTopicOf,natural_language_understanding
natural_language_processing,cso#superTopicOf,lexical_resources
natural_languages,cso#superTopicOf,natural_language_processing_systems
natural_languages,cso#superTopicOf,natural_language_interfaces
natural_language,cso#superTopicOf,natural_language_processing_systems
natural_language,cso#superTopicOf,natural_language_interfaces
question_answering,cso#superTopicOf,qa_system
question_answering,cso#superTopicOf,question_classification
question_answering,cso#superTopicOf,answer_extraction
question_answering,cso#superTopicOf,natural_language_questions
question_answering,cso#superTopicOf,passage_retrieval
question_answering,cso#superTopicOf,complex_questions
question_answering_systems,cso#superTopicOf,qa_system
question_answering_systems,cso#superTopicOf,question_classification
question_answering_systems,cso#superTopicOf,answer_extraction
question_answering_systems,cso#superTopicOf,natural_language_questions
question_answering_systems,cso#superTopicOf,passage_retrieval
question_answering_systems,cso#superTopicOf,complex_questions
question_answering_system,cso#superTopicOf,qa_system
question_answering_system,cso#superTopicOf,question_classification
question_answering_system,cso#superTopicOf,answer_extraction
question_answering_system,cso#superTopicOf,natural_language_questions
question_answering_system,cso#superTopicOf,passage_retrieval
question_answering_system,cso#superTopicOf,complex_questions
nlp,cso#superTopicOf,natural_language_understanding
natural_language_processing_systems,cso#superTopicOf,word_segmentation
natural_language_processing_systems,cso#superTopicOf,n-gram_language_models
natural_language_processing_systems,cso#superTopicOf,syntactic_structure
natural_language_processing_systems,cso#superTopicOf,syntactic_analysis
natural_language_processing_systems,cso#superTopicOf,syntactic_features
natural_language_processing_systems,cso#superTopicOf,syntactic_information
natural_language_processing_systems,cso#superTopicOf,syntactic_parsing
natural_language_processing_systems,cso#superTopicOf,parsing
natural_language_processing_systems,cso#superTopicOf,treebanks
natural_language_processing_systems,cso#superTopicOf,cross-language_information_retrieval
cross-language_information_retrieval,cso#superTopicOf,query_translation
cross-language_information_retrieval,cso#superTopicOf,query_translations
natural_language_processing_systems,cso#superTopicOf,cross_language_information_retrieval
cross_language_information_retrieval,cso#superTopicOf,query_translation
cross_language_information_retrieval,cso#superTopicOf,query_translations
natural_language_processing_systems,cso#superTopicOf,computing_with_words
natural_language_processing_systems,cso#superTopicOf,computing_with_word_%28cww%29
natural_language_processing_systems,cso#superTopicOf,dialogue_systems
dialogue_systems,cso#superTopicOf,spoken_language_understanding
natural_language_processing_systems,cso#superTopicOf,spoken_dialogue_system
spoken_dialogue_system,cso#superTopicOf,spoken_language_understanding
natural_language_processing_systems,cso#superTopicOf,spoken_dialogue_systems
spoken_dialogue_systems,cso#superTopicOf,spoken_language_understanding
natural_language_processing_systems,cso#superTopicOf,semantic_relatedness
semantic_relatedness,cso#superTopicOf,semantic_distance
semantic_relatedness,cso#superTopicOf,word_similarity
semantic_relatedness,cso#superTopicOf,concept_similarity
semantic_relatedness,cso#superTopicOf,sentence_similarity
natural_language_processing_systems,cso#superTopicOf,semantic_similarity
semantic_similarity,cso#superTopicOf,semantic_distance
semantic_similarity,cso#superTopicOf,word_similarity
semantic_similarity,cso#superTopicOf,concept_similarity
semantic_similarity,cso#superTopicOf,sentence_similarity
natural_language_processing_systems,cso#superTopicOf,semantic_similarity_measures
semantic_similarity_measures,cso#superTopicOf,semantic_distance
semantic_similarity_measures,cso#superTopicOf,word_similarity
semantic_similarity_measures,cso#superTopicOf,concept_similarity
semantic_similarity_measures,cso#superTopicOf,sentence_similarity
natural_language_processing_systems,cso#superTopicOf,named_entity_recognition
natural_language_processing_systems,cso#superTopicOf,named_entities
natural_language_processing_systems,cso#superTopicOf,named_entity
natural_language_processing_systems,cso#superTopicOf,machine_translation_systems
natural_language_processing_systems,cso#superTopicOf,machine_translations
natural_language_processing_systems,cso#superTopicOf,machine_translation
natural_language_processing_systems,cso#superTopicOf,question_answering
natural_language_processing_systems,cso#superTopicOf,question_answering_systems
natural_language_processing_systems,cso#superTopicOf,question_answering_system
natural_language_processing_systems,cso#superTopicOf,pseudo_relevance_feedback
natural_language_processing_systems,cso#superTopicOf,information_retrieval_technology
natural_language_processing_systems,cso#superTopicOf,n-gram_models
natural_language_processing_systems,cso#superTopicOf,statistical_language_models
natural_language_processing_systems,cso#superTopicOf,statistical_language_modeling
natural_language_processing_systems,cso#superTopicOf,sequence_labeling
natural_language_processing_systems,cso#superTopicOf,parsing_algorithm
natural_language_processing_systems,cso#superTopicOf,maximum_entropy_models
natural_language_processing_systems,cso#superTopicOf,maximum_entropy_model
natural_language_processing_systems,cso#superTopicOf,dependency_parser
dependency_parser,cso#superTopicOf,dependency_trees
natural_language_processing_systems,cso#superTopicOf,dependency_parsing
dependency_parsing,cso#superTopicOf,dependency_trees
natural_language_processing_systems,cso#superTopicOf,relevance_models
computational_linguistics,cso#superTopicOf,text_processing
computational_linguistics,cso#superTopicOf,translation_%28languages%29
translation_%28languages%29,cso#superTopicOf,timed_automata
translation_%28languages%29,cso#superTopicOf,learning_automata
translation_%28languages%29,cso#superTopicOf,automata
translation_%28languages%29,cso#superTopicOf,deterministic_finite_automata
translation_%28languages%29,cso#superTopicOf,tree_automata
hybrid_automatons,cso#superTopicOf,hybrid_automata
translation_%28languages%29,cso#superTopicOf,two-dimensional_cellular_automata
translation_%28languages%29,cso#superTopicOf,finite_state_automata
translation_%28languages%29,cso#superTopicOf,deterministic_automata
deterministic_automata,cso#superTopicOf,nondeterministic_automata
translation_%28languages%29,cso#superTopicOf,cross-language_information_retrieval
translation_%28languages%29,cso#superTopicOf,cross_language_information_retrieval
translation_%28languages%29,cso#superTopicOf,push-down_automata
translation_%28languages%29,cso#superTopicOf,pushdown_automata
translation_%28languages%29,cso#superTopicOf,cellular_automata_models
cellular_automata_models,cso#superTopicOf,cellular_automaton_models
translation_%28languages%29,cso#superTopicOf,ca_model
ca_model,cso#superTopicOf,cellular_automaton_models
translation_%28languages%29,cso#superTopicOf,machine_translation_systems
translation_%28languages%29,cso#superTopicOf,machine_translations
translation_%28languages%29,cso#superTopicOf,machine_translation
cellular_automaton,cso#superTopicOf,cellular_automaton_models
turing_machines,cso#superTopicOf,computability
turing_machines,cso#superTopicOf,complexity_class
turing_machine,cso#superTopicOf,computability
turing_machine,cso#superTopicOf,complexity_class
computational_linguistics,cso#superTopicOf,syntactics
abstract_syntax,cso#superTopicOf,concrete_syntax
syntactics,cso#superTopicOf,syntactic_parsing
syntactics,cso#superTopicOf,syntactic_pattern_recognition
haskell,cso#superTopicOf,generic_programming
haskell,cso#superTopicOf,type_class
haskell,cso#superTopicOf,lazy_evaluation
haskell,cso#superTopicOf,higher-order_functions
computational_linguistics,cso#superTopicOf,word_segmentation
computational_linguistics,cso#superTopicOf,continuous_speech_recognition
continuous_speech_recognition,cso#superTopicOf,large_vocabulary_continuous_speech_recognition
continuous_speech_recognition,cso#superTopicOf,continuous_speech
continuous_speech_recognition,cso#superTopicOf,pitch_contours
continuous_speech_recognition,cso#superTopicOf,pitch_estimation
