Parent URL,Type,Tool URL
http://dbpedia.org/resource/Computer_cluster,Tool,http://dbpedia.org/resource/SNAMP
http://dbpedia.org/resource/Computer_cluster,Tool,http://dbpedia.org/resource/Apache_Mesos
http://dbpedia.org/resource/Computer_cluster,Tool,http://dbpedia.org/resource/Apple_Qadministrator
http://dbpedia.org/resource/Computer_cluster,Tool,http://dbpedia.org/resource/Aerospike_(database)
http://dbpedia.org/resource/Computer_cluster,Tool,http://dbpedia.org/resource/Apple_Qmaster
http://dbpedia.org/resource/Computer_cluster,Tool,http://dbpedia.org/resource/Kubernetes
http://dbpedia.org/resource/Computer_cluster,Tool,http://dbpedia.org/resource/OpenSAF
http://dbpedia.org/resource/Computer_cluster,Tool,"http://dbpedia.org/resource/D2iQ,_Inc.__Datacenter_Operating_System__1"
http://dbpedia.org/resource/Business_process,Tool,http://dbpedia.org/resource/Apache_OFBiz
http://dbpedia.org/resource/Automatic_programming,Tool,http://dbpedia.org/resource/Acceleo
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/Desktop_Metal
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/Slic3r
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/Cura_(software)
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/Markforged
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/Marlin_(firmware)
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/Objet_Geometries
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/OctoPrint
http://dbpedia.org/resource/3D_printing,Tool,http://dbpedia.org/resource/Repetier-Host
http://dbpedia.org/resource/Elliptic_curve_cryptography,Tool,http://dbpedia.org/resource/FourQ
http://dbpedia.org/resource/PC_game,Tool,http://dbpedia.org/resource/Canard_PC
http://dbpedia.org/resource/PC_game,Tool,http://dbpedia.org/resource/PC_Gamer
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Compressed_file_library
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Compressor_(software)
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/The_Unarchiver
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Lempelï¿½ï¿½ï¿½Zivï¿½ï¿½
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Liblzg
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Libzip
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Lzip
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Lzop
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Zopfli
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Zstd
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Brotli
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Bzip2
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/FAAC
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Gzip
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/LZ4_(compression_algorithm)
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/LZFSE
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Zlib__zlib__1
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/XZ_Utils
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/PackIt
http://dbpedia.org/resource/Data_compression,Tool,http://dbpedia.org/resource/Logic_Studio__Compressor__1
