DBpedia Link,Abstract
http://dbpedia.org/resource/CaMia_Hopson,"CaMia Beryon Jackson (née Hopson; born June 19, 1969) is an American politician serving as a member of the Georgia House of Representatives from the 153rd district."
http://dbpedia.org/resource/Cab_Calloway,"Cabell Calloway III (December 25, 1907 – November 18, 1994) was an American singer, songwriter, bandleader, conductor and dancer. He was associated with the Cotton Club in Harlem, where he was a regular performer and became a popular vocalist of the swing era. His niche of mixing jazz and vaudeville won him acclaim during a career that spanned over 65 years. Calloway was a master of energetic scat singing and led one of the most popular dance bands in the United States from the early 1930s to the late 1940s. His band included trumpeters Dizzy Gillespie, Jonah Jones, and Adolphus ""Doc"" Cheatham, saxophonists Ben Webster and Leon ""Chu"" Berry, guitarist Danny Barker, bassist Milt Hinton, and drummer Cozy Cole. Calloway had several hit records in the 1930s and 1940s, becoming known as the ""Hi-de-ho"" man of jazz for his most famous song, ""Minnie the Moocher"", originally recorded in 1931. He reached the Billboard charts in five consecutive decades (1930s–1970s). Calloway also made several stage, film, and television appearances until his death in 1994 at the age of 86. He had roles in Stormy Weather (1943), Porgy and Bess (1953), The Cincinnati Kid (1965), and Hello Dolly! (1967). His career saw renewed interest when he appeared in the 1980 film The Blues Brothers. Calloway was the first African-American musician to sell a million records from a single and to have a nationally syndicated radio show. In 1993, Calloway received the National Medal of Arts from the United States Congress. He posthumously received the Grammy Lifetime Achievement Award in 2008. His song ""Minnie the Moocher"" was inducted into the Grammy Hall of Fame in 1999, and added to the Library of Congress' National Recording Registry in 2019. He is also inducted into the Big Band and Jazz Hall of Fame and the International Jazz Hall of Fame."
http://dbpedia.org/resource/Cab_Kaye,"Nii-lante Augustus Kwamlah Quaye (3 September 1921 – 13 March 2000), known professionally as Cab Kaye, was an English jazz singer and pianist of Ghanaian descent. He combined blues, stride piano, and scat with his Ghanaian heritage."
http://dbpedia.org/resource/Cabal_of_Naples,"The Cabal of Naples was a notorious triumvirate of painters in the city of Naples that operated during the early Baroque period from the late 1610s to the early 1640s. It was led by the Spaniard Jusepe de Ribera, who had established himself in Naples after fleeing creditors in Rome in 1616, and also consisted of the Neapolitan Battistello Caracciolo and Greek Belisario Corenzio. Its primary goal was to prevent competition from artists from other parts of Italy, particularly the masters. Its activities often targeted the followers of Annibale Carracci, but also any artist not native to Naples. It involved the triumvirate in leading the painters of the city to harass, expel, or poison any non-native painter, and only ended with the death of Caracciolo in 1641."
http://dbpedia.org/resource/Cabassous,"Cabassous is a genus of South and Central American armadillos. The name is the Latinised form of the Kalini word for ""armadillo"". Cladogram of living Cabassous The genus contains the following four species:"
http://dbpedia.org/resource/Cabbrini_Foncette,Cabbrini Foncette (born 19 July 1989) is a retired Trinidad and Tobago female volleyball player. She was part of the Trinidad and Tobago women's national volleyball team. She participated in the 2010 Women's Pan-American Volleyball Cup.
http://dbpedia.org/resource/Cabell_Breckinridge,"Joseph ""Cabell"" Breckinridge (July 14, 1788 – September 1, 1823) was a lawyer, soldier, slaveholder and politician in the U.S. state of Kentucky. From 1816 to 1819, he represented Fayette County in the Kentucky House of Representatives, and fellow members elected him as their speaker (1817 to 1819). In 1820, Governor John Adair appointed Breckinridge Kentucky Secretary of State, and he served until his death. A member of the Breckinridge political family, he was the son of Virginia (then Kentucky) lawyer, Senator, and U.S. Attorney General John Breckinridge (1760–1806) and his wife Mary Hopkins Cabell Breckinridge (1769–1858), of the another distinguished political family. Their son John C. Breckinridge would follow his father's (and grandfather's) path into law and politics and rise to become Vice President of the United States. After graduating from Princeton University, Breckinridge intended to follow his late father's example by becoming a lawyer in Lexington, Kentucky, but first enlisted for service in the War of 1812. Soon after the war, he also began his political career by winning election to the Kentucky House of Representatives, where he led an unsuccessful attempt to oust Governor Gabriel Slaughter, who had ascended to the governorship upon George Madison's death. Breckinridge served as Speaker of the Kentucky House from 1817 to 1819. In 1820, he accepted Governor Adair's appointment as Secretary of State and moved to Frankfort, the state capital, to better attend to official duties, but fell ill with a fever in August 1823 and died on September 1, 1823."
http://dbpedia.org/resource/Cabell_Tennis,"Calvin Cabell Tennis (born October 24, 1932) is an American prelate who was the Bishop of Delaware from 1986 to 1997."
http://dbpedia.org/resource/Cabeção_(footballer),"Luís Morais (23 August 1930 – 6 January 2020), also known as Cabeção, was a Brazilian football player. He played for the Brazil national football team at the 1954 FIFA World Cup finals. Cabeção played club football for Corinthians, Bangu, Portuguesa, Comercial-SP, Juventus-SP and Portuguesa Santista, winning the Campeonato Paulista in 1951, 1952 and 1954 with Corinthians. Cabeção died on 6 January 2020 at the age of 89."
http://dbpedia.org/resource/Cabinet_of_Benedikt_Sigurðsson_Gröndal,The Cabinet of Benedikt Sigurðsson Gröndal in Iceland was formed 15 October 1979.
http://dbpedia.org/resource/Cabinet_of_Björn_Þórðarson,The Cabinet of Björn Þórðarson was formed 16 December 1942.
http://dbpedia.org/resource/Cabinet_of_Emil_Jónsson,The Cabinet of Emil Jónsson in Iceland was formed 23 December 1958 and dissolved 20 November 1959.
http://dbpedia.org/resource/Cabinet_of_Geir_Hallgrímsson,The Cabinet of Geir Hallgrímsson in Iceland was formed 28 August 1974.
http://dbpedia.org/resource/Cabinet_of_Gunnar_Thoroddsen,The Cabinet of Gunnar Thoroddsen in Iceland was formed 8 February 1980.
http://dbpedia.org/resource/Cabinet_of_Halldór_Ásgrímsson,The Cabinet of Halldór Ásgrímsson in Iceland was formed 15 September 2004.
http://dbpedia.org/resource/Cabinet_of_Jóhann_Hafstein,The Cabinet of Jóhann Hafstein in Iceland was formed 10 July 1970.
http://dbpedia.org/resource/Cabinet_of_Jón_Þorláksson,The Cabinet of Jón Þorláksson was formed 8 July 1926.
http://dbpedia.org/resource/Cabinet_of_Léon_Faucher,"The Cabinet of Léon Faucher, in which Léon Faucher was the leading minister, was formed on 10 April 1851 by President Louis-Napoleon Bonaparte.It followed the Petit ministère of 1851.The cabinet was a compromise between the Parti de l'Ordre and the Bonapartists in the period before the coup d'état of 2 December 1851.The cabinet was replaced by the Last cabinet of the French Second Republic on 26 October 1851."
http://dbpedia.org/resource/Cabinet_of_Sigmundur_Davíð_Gunnlaugsson,The Cabinet of Sigmundur Davíð Gunnlaugsson in Iceland was formed 23 May 2013. The cabinet left office 7 April 2016 due to the Panama Papers leak.
http://dbpedia.org/resource/Cabinet_of_Sigurður_Eggerz,The Cabinet of Sigurður Eggerz was formed 7 March 1922.
http://dbpedia.org/resource/Cabinet_of_Tryggvi_Þórhallsson,The Cabinet of Tryggvi Þórhallsson was formed 28 August 1927.
http://dbpedia.org/resource/Cabinet_of_Ásgeir_Ásgeirsson,The Cabinet of Ásgeir Ásgeirsson was formed 3 June 1932.
http://dbpedia.org/resource/Cabinet_of_Þorsteinn_Pálsson,The Cabinet of Þorsteinn Pálsson was the government of Iceland between 8 July 1987 and 28 September 1988. It was led by Prime Minister Þorsteinn Pálsson.
http://dbpedia.org/resource/Cabinho_(footballer),"Evanivaldo Castro Silva, also known as Cabinho (born April 28, 1948) is a Brazilian-born former professional footballer who played as forward. He gained his greatest professional fame in Mexico, he is also a Mexican naturalized citizen."
http://dbpedia.org/resource/Cabiria_Andreian_Cazacu,"Cabiria Andreian Cazacu (February 19, 1928 – May 22, 2018) was a Romanian mathematician known for her work in complex analysis. She held the chair in mathematical analysis at the University of Bucharest from 1973 to 1975, and was dean of the faculty of mathematics at the University of Bucharest from 1976 to 1984."
